DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
103,1.166,31714,0,0,0,0,0,1.20,1.20
104,1.166,16854,0,0,0,0,0,1.20,1.20
105,1.166,11640,0,0,0,0,0,1.20,1.20
106,1.166,18036,0,0,0,0,0,1.20,1.20
107,1.166,24951,0,0,0,0,0,1.20,1.20
108,1.166,22182,0,0,0,0,0,1.20,1.20
109,1.166,7617,0,0,0,0,0,1.20,1.20
110,1.166,24257,0,0,0,0,0,1.20,1.20
111,1.166,13126,0,0,0,0,0,1.20,1.20
112,1.166,15926,0,0,0,0,0,1.20,1.20
113,1.166,30232,0,0,0,0,0,1.20,1.20
114,1.166,44805,0,0,0,0,0,1.20,1.20
115,1.166,11354,0,0,0,0,0,1.20,1.20
116,1.166,10246,0,0,0,0,0,1.20,1.20
117,1.166,2131,0,0,0,0,0,1.20,1.20
118,1.166,20957,0,0,0,0,0,1.20,1.20
119,1.163,23304,0,0,0,0,0,1.20,1.20
120,1.163,24787,0,0,0,0,0,1.20,1.20
121,1.163,28664,0,0,0,0,0,1.20,1.20
122,1.163,1960,0,0,0,0,0,1.20,1.20
123,1.163,37632,0,0,0,0,0,1.20,1.20
124,1.163,13228,0,0,0,0,0,1.20,1.20
125,1.163,22005,0,0,0,0,0,1.20,1.20
126,1.163,38095,0,0,0,0,0,1.20,1.20
127,1.163,42858,0,0,0,0,0,1.20,1.20
128,1.019,35330,0,0,0,0,0,1.20,1.20
129,1.019,11472,0,0,0,0,0,1.20,1.20
130,1.019,7054,0,0,0,0,0,1.20,1.20
131,0.800,7025,0,0,0,0,0,1.20,1.20
132,0.800,9161,0,0,0,0,0,1.20,1.20
133,0.800,21675,0,0,0,0,0,1.20,1.20
134,1.153,8049,0,0,0,0,0,1.20,1.20
135,0.984,42899,0,0,0,0,0,1.20,1.20
136,0.457,26297,0,0,0,0,0,1.20,1.20
137,0.853,45725,0,0,0,0,0,1.20,1.20
138,0.890,14734,0,0,0,0,0,1.20,1.20
139,0.478,31439,0,0,0,0,0,1.20,1.20
140,0.706,27621,0,0,0,0,0,1.20,1.20
141,0.706,10529,0,0,0,0,0,1.20,1.20
142,0.600,39776,0,0,0,0,0,1.20,1.20
143,0.600,31644,0,0,0,0,0,1.20,1.20
144,0.697,16620,0,0,0,0,0,1.20,1.20
145,0.697,27452,0,0,0,0,0,1.20,1.20
146,0.896,21785,0,0,0,0,0,1.20,1.20
147,0.896,10584,0,0,0,0,0,1.20,1.20
148,0.896,37011,0,0,0,0,0,1.20,1.20
149,1.162,15041,0,0,0,0,0,1.20,1.20
150,1.162,29823,0,0,0,0,0,1.20,1.20
151,1.162,31950,0,0,0,0,0,1.20,1.20
152,1.162,9623,0,0,0,0,0,1.20,1.20
153,1.162,16546,0,0,0,0,0,1.20,1.20
