ID,LID,Width,Color,type,LinkId
190,5125,10,W,0,0
191,5126,10,W,1,0
192,5127,10,W,0,0
193,5128,10,W,0,0
194,5129,10,W,0,0
195,5130,10,W,0,0
196,5131,10,W,1,0
197,5132,10,W,1,0
198,5133,10,W,1,0
199,5134,10,W,1,0
200,5135,10,W,1,0
201,5136,10,W,1,0
202,5137,10,W,1,0
203,5138,10,W,1,0
204,5139,10,W,0,0
205,5140,10,W,0,0
206,5141,10,W,0,0
207,5142,10,W,0,0
208,5143,10,W,0,0
209,5144,10,W,0,0
210,5145,10,W,0,0
211,5146,10,W,0,0
212,5147,10,W,0,0
213,5148,10,W,0,0
214,5149,10,W,0,0
215,5150,10,W,0,0
216,5151,10,W,0,0
217,5152,10,W,0,0
218,5153,10,W,0,0
219,5154,10,W,0,0
220,5155,10,W,0,0
221,5156,10,W,0,0
222,5157,10,W,0,0
223,5158,10,W,0,0
224,5159,10,W,0,0
225,5160,10,W,0,0
226,5161,10,W,0,0
227,5162,10,W,0,0
228,5163,10,W,1,0
229,5164,10,W,1,0
230,5165,10,W,1,0
231,5166,10,W,1,0
232,5167,10,W,1,0
233,5168,10,W,1,0
234,5169,10,W,1,0
235,5170,10,W,1,0
236,5171,10,W,1,0
237,5172,10,W,1,0
238,5173,10,W,1,0
239,5174,10,W,1,0
240,5175,10,W,1,0
241,5176,10,W,1,0
242,5177,10,W,1,0
243,5178,10,W,1,0
244,5179,10,W,1,0
245,5180,10,W,1,0
246,5181,10,W,1,0
247,5182,10,W,1,0
248,5183,10,W,0,0
249,5184,10,W,0,0
250,5185,10,W,0,0
251,5186,10,W,0,0
252,5187,10,W,0,0
253,5188,10,W,0,0
254,5189,10,W,0,0
255,5190,10,W,0,0
256,5191,10,W,0,0
257,5192,10,W,0,0
258,5193,10,W,0,0
259,5194,10,W,0,0
260,5195,10,W,1,0
261,5196,10,W,1,0
262,5197,10,W,1,0
263,5198,10,W,1,0
264,5199,10,W,1,0
265,5200,10,W,1,0
266,5201,10,W,1,0
267,5202,10,W,1,0
268,5203,10,W,1,0
269,5204,10,W,1,0
270,5205,10,W,0,0
271,5206,10,W,0,0
272,5207,10,W,0,0
273,5208,10,W,0,0
274,5209,10,W,0,0
275,5210,10,W,0,0
276,5211,10,W,0,0
277,5212,10,W,0,0
278,5213,10,W,0,0
279,5214,10,W,0,0
280,5215,10,W,0,0
281,5216,10,W,0,0
282,5217,10,W,0,0
283,5218,10,W,0,0
284,5219,10,W,0,0
285,5220,10,W,0,0
286,5221,10,W,0,0
287,5222,10,W,0,0
288,5223,10,W,0,0
289,5224,10,W,0,0
290,5225,10,W,0,0
291,5226,10,W,0,0
292,5227,10,W,0,0
293,5228,10,W,0,0
294,5229,10,W,0,0
295,5230,10,W,0,0
296,5231,10,W,0,0
297,5232,10,W,0,0
298,5233,10,W,0,0
299,5234,10,W,0,0
300,5235,10,W,0,0
301,5236,10,W,0,0
302,5237,10,W,0,0
303,5238,10,W,0,0
304,5239,10,W,0,0
305,5240,10,W,0,0
306,5241,10,W,0,0
307,5242,10,W,0,0
308,5243,10,W,0,0
309,5244,10,W,0,0
310,5245,10,W,0,0
311,5246,10,W,0,0
312,5247,10,W,0,0
313,5248,10,W,0,0
314,5249,10,W,0,0
315,5250,10,W,0,0
316,5251,10,W,0,0
317,5252,10,W,0,0
318,5253,10,W,0,0
319,5254,10,W,0,0
