VID,PID,Hang,Vang
1,44713,330.00,0.00
2,44714,330.00,0.00
3,44715,145.00,0.00
4,44716,225.00,0.00
5,44717,225.00,0.00
6,44718,225.00,0.00
7,44719,50.00,0.00
8,44720,40.00,0.00
9,44721,130.00,0.00
10,44722,130.00,0.00
11,44723,195.00,0.00
12,44724,330.00,0.00
13,44725,200.00,0.00
14,44726,200.00,0.00
15,44727,15.00,0.00
16,44728,315.00,0.00
17,44729,200.00,0.00
18,44730,135.00,0.00
19,44731,25.00,0.00
20,44732,315.00,0.00
21,44733,315.00,0.00
22,44734,315.00,0.00
23,44735,145.00,0.00
24,44736,315.00,0.00
25,44737,270.00,0.00
26,44738,340.00,0.00
27,44739,160.00,0.00
28,44740,315.00,0.00
29,44741,315.00,0.00
30,44742,175.00,0.00
31,44743,200.00,0.00
32,44744,130.00,0.00
33,44745,130.00,0.00
34,44746,320.00,0.00
35,44747,35.00,0.00
36,44748,315.00,0.00
37,44749,40.00,0.00
38,44750,210.00,0.00
39,44751,210.00,0.00
40,44752,30.00,0.00
41,44753,30.00,0.00
42,44754,20.00,0.00
43,44755,40.00,0.00
44,44756,340.00,0.00
45,44757,225.00,0.00
46,44758,45.00,0.00
47,44759,215.00,0.00
48,44760,215.00,0.00
49,44761,40.00,0.00
50,44762,40.00,0.00
51,44763,195.00,0.00
52,44764,190.00,0.00
53,44765,190.00,0.00
54,44766,215.00,0.00
55,44767,25.00,0.00
56,44768,320.00,0.00
57,44769,145.00,0.00
58,44770,27.00,0.00
59,44771,20.00,0.00
60,44772,135.00,0.00
61,44773,315.00,0.00
62,44774,325.00,0.00
63,44775,135.00,0.00
64,44776,135.00,0.00
65,44777,145.00,0.00
66,44778,330.00,0.00
67,44779,330.00,0.00
68,44780,330.00,0.00
69,44781,330.00,0.00
70,44782,80.00,0.00
71,44783,45.00,0.00
72,44784,45.00,0.00
73,44785,45.00,0.00
74,44786,227.00,0.00
75,44787,227.00,0.00
76,44788,227.00,0.00
77,44789,227.00,0.00
78,44790,235.00,0.00
79,44791,178.00,0.00
80,44792,185.00,0.00
81,44793,195.00,0.00
82,44794,20.00,0.00
83,44795,15.00,0.00
84,44796,20.00,0.00
85,44797,315.00,0.00
86,44798,135.00,0.00
87,44799,315.00,0.00
88,44800,315.00,0.00
89,44801,315.00,0.00
90,44802,120.00,0.00
91,44803,135.00,0.00
92,44804,315.00,0.00
93,44805,315.00,0.00
94,44806,330.00,0.00
95,44807,150.00,0.00
96,44808,155.00,0.00
97,44809,45.00,0.00
98,44810,315.00,0.00
99,44811,145.00,0.00
100,44812,140.00,0.00
101,44813,145.00,0.00
102,44814,150.00,0.00
103,44815,5.00,0.00
104,44816,15.00,0.00
105,44817,30.00,0.00
106,44818,30.00,0.00
107,44819,330.00,0.00
108,44820,330.00,0.00
109,44821,45.00,0.00
110,44822,135.00,0.00
111,44823,35.00,0.00
112,44824,35.00,0.00
113,44825,315.00,0.00
114,44826,45.00,0.00
115,44827,140.00,0.00
116,44828,140.00,0.00
117,44829,135.00,0.00
118,44830,137.00,0.00
119,44831,137.00,0.00
120,44832,137.00,0.00
121,44833,30.00,0.00
122,44834,250.00,0.00
123,44835,45.00,0.00
124,44836,240.00,0.00
125,44837,240.00,0.00
126,44838,240.00,0.00
127,44839,330.00,90.00
128,44840,330.00,90.00
129,44841,330.00,90.00
130,44842,330.00,90.00
131,44843,330.00,90.00
132,44844,330.00,90.00
133,44845,145.00,90.00
134,44846,145.00,90.00
135,44847,145.00,90.00
136,44848,225.00,90.00
137,44849,225.00,90.00
138,44850,225.00,90.00
139,44851,225.00,90.00
140,44852,225.00,90.00
141,44853,225.00,90.00
142,44854,225.00,90.00
143,44855,225.00,90.00
144,44856,225.00,90.00
145,44857,50.00,90.00
146,44858,50.00,90.00
147,44859,50.00,90.00
148,44860,40.00,90.00
149,44861,40.00,90.00
150,44862,40.00,90.00
151,44863,130.00,90.00
152,44864,130.00,90.00
153,44865,130.00,90.00
154,44866,130.00,90.00
155,44867,130.00,90.00
156,44868,130.00,90.00
157,44869,195.00,90.00
158,44870,195.00,90.00
159,44871,195.00,90.00
160,44872,330.00,90.00
161,44873,330.00,90.00
162,44874,330.00,90.00
163,44875,200.00,90.00
164,44876,200.00,90.00
165,44877,200.00,90.00
166,44878,200.00,90.00
167,44879,200.00,90.00
168,44880,200.00,90.00
169,44881,15.00,90.00
170,44882,15.00,90.00
171,44883,15.00,90.00
172,44884,315.00,90.00
173,44885,315.00,90.00
174,44886,315.00,90.00
175,44887,200.00,90.00
176,44888,200.00,90.00
177,44889,200.00,90.00
178,44890,135.00,90.00
179,44891,135.00,90.00
180,44892,135.00,90.00
181,44893,25.00,90.00
182,44894,25.00,90.00
183,44895,25.00,90.00
184,44896,315.00,90.00
185,44897,315.00,90.00
186,44898,315.00,90.00
187,44899,315.00,90.00
188,44900,315.00,90.00
189,44901,315.00,90.00
190,44902,315.00,90.00
191,44903,315.00,90.00
192,44904,315.00,90.00
193,44905,145.00,90.00
194,44906,145.00,90.00
195,44907,145.00,90.00
196,44908,315.00,90.00
197,44909,315.00,90.00
198,44910,315.00,90.00
199,44911,270.00,90.00
200,44912,270.00,90.00
201,44913,270.00,90.00
202,44914,340.00,90.00
203,44915,340.00,90.00
204,44916,340.00,90.00
205,44917,160.00,90.00
206,44918,160.00,90.00
207,44919,160.00,90.00
208,44920,315.00,90.00
209,44921,315.00,90.00
210,44922,315.00,90.00
211,44923,315.00,90.00
212,44924,315.00,90.00
213,44925,315.00,90.00
214,44926,175.00,90.00
215,44927,175.00,90.00
216,44928,175.00,90.00
217,44929,200.00,90.00
218,44930,200.00,90.00
219,44931,200.00,90.00
220,44932,130.00,90.00
221,44933,130.00,90.00
222,44934,130.00,90.00
223,44935,130.00,90.00
224,44936,130.00,90.00
225,44937,130.00,90.00
226,44938,320.00,90.00
227,44939,320.00,90.00
228,44940,320.00,90.00
229,44941,35.00,90.00
230,44942,35.00,90.00
231,44943,35.00,90.00
232,44944,315.00,90.00
233,44945,315.00,90.00
234,44946,315.00,90.00
235,44947,40.00,90.00
236,44948,40.00,90.00
237,44949,40.00,90.00
238,44950,210.00,90.00
239,44951,210.00,90.00
240,44952,210.00,90.00
241,44953,210.00,90.00
242,44954,210.00,90.00
243,44955,210.00,90.00
244,44956,30.00,90.00
245,44957,30.00,90.00
246,44958,30.00,90.00
