PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
45271,0.0,0.0,43.653122,10832.24,11567.964,0,0,0,0
36222,0.0,0.0,41.85375,8152.6274,10071.221,0,0,0,0
45272,0.0,0.0,35.310623,11813.184,11716.584,0,0,0,0
45273,0.0,0.0,34.179375,11512.921,11248.45,0,0,0,0
45274,0.0,0.0,35.098747,11206.792,11191.591,0,0,0,0
45275,0.0,0.0,34.7925,11226.821,11218.779,0,0,0,0
45276,0.0,0.0,34.6475,11229.928,11217.536,0,0,0,0
38310,0.0,0.0,34.89875,11376.397,11421.164,0,0,0,0
45277,0.0,0.0,35.049374,11215.95,11192.231,0,0,0,0
38520,0.0,0.0,43.409374,10828.095,11564.286,0,0,0,0
45278,0.0,0.0,35.51,11211.927,11167.582,0,0,0,0
45279,0.0,0.0,34.326874,11906.363,11785.389,0,0,0,0
45280,0.0,0.0,53.778748,9689.97,11516.027,0,0,0,0
39350,0.0,0.0,35.18625,11241.353,10943.6,0,0,0,0
40574,0.0,0.0,49.018124,10324.276,8147.1167,0,0,0,0
40999,0.0,0.0,51.611248,11362.693,9569.421,0,0,0,0
42842,0.0,0.0,35.36,11835.19,11696.219,0,0,0,0
43920,0.0,0.0,54.488125,11352.842,9813.371,0,0,0,0
44108,0.0,0.0,43.394375,11286.086,10646.794,0,0,0,0
44200,0.0,0.0,33.7775,11474.898,11204.902,0,0,0,0
44247,0.0,0.0,60.914997,10605.073,11614.692,0,0,0,0
44436,0.0,0.0,50.468124,9508.754,11407.218,0,0,0,0
44485,0.0,0.0,48.8075,8135.135,10274.473,0,0,0,0
20262,0.0,0.0,34.483124,11275.805,11293.65,0,0,0,0
34067,0.0,0.0,50.699375,10731.426,7838.7246,0,0,0,0
10409,0.0,0.0,53.201874,11356.229,9729.726,0,0,0,0
10456,0.0,0.0,49.699375,8930.57,10810.017,0,0,0,0
10930,0.0,0.0,33.534374,12036.091,11619.146,0,0,0,0
11972,0.0,0.0,51.3575,11371.949,9533.106,0,0,0,0
13673,0.0,0.0,59.455624,10403.071,11586.425,0,0,0,0
14955,0.0,0.0,56.6025,10117.963,11572.133,0,0,0,0
17047,0.0,0.0,35.70375,11308.462,10862.187,0,0,0,0
17418,0.0,0.0,49.70625,11761.119,10562.332,0,0,0,0
18130,0.0,0.0,53.10375,11338.397,10202.564,0,0,0,0
19262,0.0,0.0,50.73375,10717.607,7852.6665,0,0,0,0
22675,0.0,0.0,35.576874,11275.881,10877.212,0,0,0,0
24659,0.0,0.0,61.026875,10537.68,11597.403,0,0,0,0
28261,0.0,0.0,34.708122,11829.591,11750.905,0,0,0,0
28359,0.0,0.0,34.739998,11404.254,11457.396,0,0,0,0
30687,0.0,0.0,49.286247,8674.045,10624.764,0,0,0,0
34148,0.0,0.0,34.927498,11453.429,11519.511,0,0,0,0
36511,0.0,0.0,34.714375,11231.956,11225.519,0,0,0,0
36653,0.0,0.0,49.298122,8861.404,10760.59,0,0,0,0
37128,0.0,0.0,36.8975,11683.927,11733.841,0,0,0,0
38756,0.0,0.0,49.169373,8531.866,10527.231,0,0,0,0
39971,0.0,0.0,34.841248,11816.132,11744.774,0,0,0,0
20444,0.0,0.0,35.59875,11181.702,11239.744,0,0,0,0
4,0.0,0.0,34.655,11434.954,11507.657,0,0,0,0
5,0.0,0.0,59.8975,11469.377,9060.474,0,0,0,0
6,0.0,0.0,39.399998,11285.568,10723.787,0,0,0,0
7,0.0,0.0,34.910625,11198.791,11208.643,0,0,0,0
8,0.0,0.0,35.0925,11290.078,10935.054,0,0,0,0
9,0.0,0.0,56.039997,11457.859,7306.168,0,0,0,0
10,0.0,0.0,59.52,11616.864,8297.093,0,0,0,0
11,0.0,0.0,47.980625,8281.993,10330.004,0,0,0,0
