DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
118,1.166,20352,0,0,0,0,0,1.20,1.20
119,1.163,22622,0,0,0,0,0,1.20,1.20
120,1.163,24049,0,0,0,0,0,1.20,1.20
121,1.163,27808,0,0,0,0,0,1.20,1.20
122,1.163,1909,0,0,0,0,0,1.20,1.20
123,1.163,36515,0,0,0,0,0,1.20,1.20
124,1.163,12847,0,0,0,0,0,1.20,1.20
125,1.163,21363,0,0,0,0,0,1.20,1.20
126,1.163,36968,0,0,0,0,0,1.20,1.20
127,1.163,41574,0,0,0,0,0,1.20,1.20
128,1.019,34267,0,0,0,0,0,1.20,1.20
129,1.019,11144,0,0,0,0,0,1.20,1.20
130,1.019,6856,0,0,0,0,0,1.20,1.20
131,0.800,6827,0,0,0,0,0,1.20,1.20
132,0.800,8900,0,0,0,0,0,1.20,1.20
133,0.800,21042,0,0,0,0,0,1.20,1.20
134,1.153,7815,0,0,0,0,0,1.20,1.20
135,0.984,41615,0,0,0,0,0,1.20,1.20
136,0.457,25524,0,0,0,0,0,1.20,1.20
137,0.853,44357,0,0,0,0,0,1.20,1.20
138,0.890,14312,0,0,0,0,0,1.20,1.20
139,0.478,30507,0,0,0,0,0,1.20,1.20
140,0.706,26809,0,0,0,0,0,1.20,1.20
141,0.706,10219,0,0,0,0,0,1.20,1.20
142,0.600,38585,0,0,0,0,0,1.20,1.20
143,0.600,30707,0,0,0,0,0,1.20,1.20
144,0.697,16145,0,0,0,0,0,1.20,1.20
145,0.697,26644,0,0,0,0,0,1.20,1.20
146,0.896,21149,0,0,0,0,0,1.20,1.20
147,0.896,10272,0,0,0,0,0,1.20,1.20
148,0.896,35909,0,0,0,0,0,1.20,1.20
149,1.162,14613,0,0,0,0,0,1.20,1.20
150,1.162,28943,0,0,0,0,0,1.20,1.20
151,1.162,31002,0,0,0,0,0,1.20,1.20
152,1.162,9344,0,0,0,0,0,1.20,1.20
153,1.162,16072,0,0,0,0,0,1.20,1.20
154,1.162,20186,0,0,0,0,0,1.20,1.20
155,1.162,40319,0,0,0,0,0,1.20,1.20
156,1.162,42820,0,0,0,0,0,1.20,1.20
157,1.162,43683,0,0,0,0,0,1.20,1.20
158,1.162,24865,0,0,0,0,0,1.20,1.20
159,1.162,15658,0,0,0,0,0,1.20,1.20
160,1.162,681,0,0,0,0,0,1.20,1.20
161,1.162,22072,0,0,0,0,0,1.20,1.20
162,1.162,5346,0,0,0,0,0,1.20,1.20
163,1.162,25066,0,0,0,0,0,1.20,1.20
164,1.162,1698,0,0,0,0,0,1.20,1.20
165,1.162,42971,0,0,0,0,0,1.20,1.20
166,1.162,10330,0,0,0,0,0,1.20,1.20
167,1.162,6300,0,0,0,0,0,1.20,1.20
168,1.162,24156,0,0,0,0,0,1.20,1.20
169,1.142,6619,0,0,0,0,0,1.20,1.20
170,1.142,42117,0,0,0,0,0,1.20,1.20
171,1.142,26946,0,0,0,0,0,1.20,1.20
172,1.142,15144,0,0,0,0,0,1.20,1.20
173,1.142,41190,0,0,0,0,0,1.20,1.20
174,1.142,28563,0,0,0,0,0,1.20,1.20
175,1.142,1396,0,0,0,0,0,1.20,1.20
176,1.142,25316,0,0,0,0,0,1.20,1.20
177,1.188,35268,0,0,0,0,0,1.20,1.20
178,1.188,30550,0,0,0,0,0,1.20,1.20
179,1.188,17193,0,0,0,0,0,1.20,1.20
180,1.188,28272,0,0,0,0,0,1.20,1.20
181,1.188,38046,0,0,0,0,0,1.20,1.20
182,1.188,4494,0,0,0,0,0,1.20,1.20
183,1.188,42048,0,0,0,0,0,1.20,1.20
184,1.188,23414,0,0,0,0,0,1.20,1.20
185,1.188,34623,0,0,0,0,0,1.20,1.20
186,1.188,30328,0,0,0,0,0,1.20,1.20
187,1.188,2919,0,0,0,0,0,1.20,1.20
188,1.188,8438,0,0,0,0,0,1.20,1.20
189,1.188,1710,0,0,0,0,0,1.20,1.20
190,1.188,10121,0,0,0,0,0,1.20,1.20
191,1.188,180,0,0,0,0,0,1.20,1.20
192,1.188,31493,0,0,0,0,0,1.20,1.20
193,1.188,21728,0,0,0,0,0,1.20,1.20
194,1.195,19596,0,0,0,0,0,1.20,1.20
195,1.195,5075,0,0,0,0,0,1.20,1.20
196,1.195,33167,0,0,0,0,0,1.20,1.20
197,1.195,14017,0,0,0,0,0,1.20,1.20
198,1.195,19021,0,0,0,0,0,1.20,1.20
199,1.195,17718,0,0,0,0,0,1.20,1.20
200,1.195,4206,0,0,0,0,0,1.20,1.20
201,1.195,19777,0,0,0,0,0,1.20,1.20
202,1.195,37016,0,0,0,0,0,1.20,1.20
203,1.195,41311,0,0,0,0,0,1.20,1.20
204,1.195,43431,0,0,0,0,0,1.20,1.20
205,1.183,26479,0,0,0,0,0,1.20,1.20
206,1.183,2361,0,0,0,0,0,1.20,1.20
207,1.183,27353,0,0,0,0,0,1.20,1.20
208,1.183,18999,0,0,0,0,0,1.20,1.20
209,1.183,20252,0,0,0,0,0,1.20,1.20
210,1.183,20038,0,0,0,0,0,1.20,1.20
211,1.183,31791,0,0,0,0,0,1.20,1.20
212,1.183,30465,0,0,0,0,0,1.20,1.20
213,1.183,41403,0,0,0,0,0,1.20,1.20
214,1.183,7867,0,0,0,0,0,1.20,1.20
215,1.183,9020,0,0,0,0,0,1.20,1.20
216,1.183,38399,0,0,0,0,0,1.20,1.20
217,1.183,175,0,0,0,0,0,1.20,1.20
218,1.183,30856,0,0,0,0,0,1.20,1.20
219,1.183,30036,0,0,0,0,0,1.20,1.20
220,0.891,29769,0,0,0,0,0,1.20,1.20
221,0.891,43302,0,0,0,0,0,1.20,1.20
222,0.891,34105,0,0,0,0,0,1.20,1.20
223,0.994,29214,0,0,0,0,0,1.20,1.20
224,0.770,22414,0,0,0,0,0,1.20,1.20
225,1.056,6295,0,0,0,0,0,1.20,1.20
226,0.461,6168,0,0,0,0,0,1.20,1.20
227,0.423,10406,0,0,0,0,0,1.20,1.20
228,0.395,32951,0,0,0,0,0,1.20,1.20
229,0.432,13171,0,0,0,0,0,1.20,1.20
230,0.984,4656,0,0,0,0,0,1.20,1.20
231,0.557,9589,0,0,0,0,0,1.20,1.20
232,0.654,35715,0,0,0,0,0,1.20,1.20
233,0.763,12540,0,0,0,0,0,1.20,1.20
