VID,PID,Hang,Vang
1,44713,220.0,0.0
2,44714,220.0,0.0
3,44715,35.0,0.0
4,44716,115.0,0.0
5,44717,115.0,0.0
6,44718,115.0,0.0
7,44719,300.0,0.0
8,44720,290.0,0.0
9,44721,20.0,0.0
10,44722,20.0,0.0
11,44723,85.0,0.0
12,44724,220.0,0.0
13,44725,90.0,0.0
14,44726,90.0,0.0
15,44727,265.0,0.0
16,44728,205.0,0.0
17,44729,90.0,0.0
18,44730,25.0,0.0
19,44731,275.0,0.0
20,44732,205.0,0.0
21,44733,205.0,0.0
22,44734,205.0,0.0
23,44735,35.0,0.0
24,44736,205.0,0.0
25,44737,160.0,0.0
26,44738,230.0,0.0
27,44739,50.0,0.0
28,44740,205.0,0.0
29,44741,205.0,0.0
30,44742,65.0,0.0
31,44743,90.0,0.0
32,44744,20.0,0.0
33,44745,20.0,0.0
34,44746,210.0,0.0
35,44747,285.0,0.0
36,44748,205.0,0.0
37,44749,290.0,0.0
38,44750,100.0,0.0
39,44751,100.0,0.0
40,44752,280.0,0.0
41,44753,280.0,0.0
42,44754,270.0,0.0
43,44755,290.0,0.0
44,44756,230.0,0.0
45,44757,115.0,0.0
46,44758,295.0,0.0
47,44759,105.0,0.0
48,44760,105.0,0.0
49,44761,290.0,0.0
50,44762,290.0,0.0
51,44763,85.0,0.0
52,44764,80.0,0.0
53,44765,80.0,0.0
54,44766,105.0,0.0
55,44767,275.0,0.0
56,44768,210.0,0.0
57,44769,35.0,0.0
58,44770,277.0,0.0
59,44771,270.0,0.0
60,44772,25.0,0.0
61,44773,205.0,0.0
62,44774,215.0,0.0
63,44775,25.0,0.0
64,44776,25.0,0.0
65,44777,35.0,0.0
66,44778,220.0,0.0
67,44779,220.0,0.0
68,44780,220.0,0.0
69,44781,220.0,0.0
70,44782,330.0,0.0
71,44783,295.0,0.0
72,44784,295.0,0.0
73,44785,295.0,0.0
74,44786,117.0,0.0
75,44787,117.0,0.0
76,44788,117.0,0.0
77,44789,117.0,0.0
78,44790,125.0,0.0
79,44791,68.0,0.0
80,44792,75.0,0.0
81,44793,85.0,0.0
82,44794,270.0,0.0
83,44795,265.0,0.0
84,44796,270.0,0.0
85,44797,205.0,0.0
86,44798,25.0,0.0
87,44799,205.0,0.0
88,44800,205.0,0.0
89,44801,205.0,0.0
90,44802,10.0,0.0
91,44803,25.0,0.0
92,44804,205.0,0.0
93,44805,205.0,0.0
94,44806,220.0,0.0
95,44807,40.0,0.0
96,44808,45.0,0.0
97,44809,295.0,0.0
98,44810,205.0,0.0
99,44811,35.0,0.0
100,44812,30.0,0.0
101,44813,35.0,0.0
102,44814,40.0,0.0
103,44815,255.0,0.0
104,44816,265.0,0.0
105,44817,280.0,0.0
106,44818,280.0,0.0
107,44819,220.0,0.0
108,44820,220.0,0.0
109,44821,295.0,0.0
110,44822,25.0,0.0
111,44823,285.0,0.0
112,44824,285.0,0.0
113,44825,205.0,0.0
114,44826,295.0,0.0
115,44827,30.0,0.0
116,44828,30.0,0.0
