ID,LID,Width,Color,type,LinkId
1,4902,10,W,1,0
2,4903,10,W,1,0
3,4904,10,W,1,0
4,4905,10,W,1,0
5,4906,10,W,1,0
6,4907,10,W,1,0
7,4908,10,W,1,0
8,4909,10,W,1,0
9,4910,10,W,1,0
10,4911,10,W,1,0
11,4912,10,W,1,0
12,4913,10,W,1,0
13,4914,10,W,1,0
14,4915,10,W,1,0
15,4916,10,W,1,0
16,4917,10,W,1,0
17,4918,10,W,1,0
18,4919,10,W,1,0
19,4920,10,W,1,0
20,4921,10,W,1,0
21,4922,10,W,0,0
22,4923,10,W,0,0
23,4924,10,W,0,0
24,4925,10,W,0,0
25,4926,10,W,0,0
26,4927,10,W,0,0
27,4928,10,W,0,0
28,4929,10,W,0,0
29,4930,10,W,0,0
30,4931,10,W,0,0
31,4932,10,W,0,0
32,4933,10,W,0,0
33,4934,10,W,0,0
34,4935,10,W,0,0
35,4936,10,W,0,0
36,4937,10,W,0,0
37,4938,10,W,0,0
38,4939,10,W,0,0
39,4940,10,W,0,0
40,4941,10,W,0,0
41,4942,10,W,0,0
42,4943,10,W,0,0
43,4944,10,W,0,0
44,4945,10,W,0,0
45,4946,10,W,0,0
46,4947,10,W,0,0
47,4948,10,W,0,0
48,4949,10,W,0,0
49,4950,10,W,0,0
50,4951,10,W,0,0
51,4952,10,W,0,0
52,4953,10,W,0,0
53,4954,10,W,0,0
54,4955,10,W,0,0
55,4956,10,W,0,0
56,4957,10,W,0,0
57,4958,10,W,0,0
58,4959,10,W,0,0
59,4960,10,W,0,0
60,4961,10,W,0,0
61,4962,10,W,0,0
62,4963,10,W,0,0
63,4964,10,W,0,0
64,4965,10,W,0,0
65,4966,10,W,0,0
66,4967,10,W,0,0
67,4968,10,W,0,0
68,4969,10,W,0,0
69,4970,10,W,0,0
70,4971,10,W,0,0
71,4972,10,W,0,0
72,4973,10,W,0,0
73,4974,10,W,0,0
74,4975,10,W,0,0
75,4976,10,W,0,0
76,4977,10,W,0,0
77,4978,10,W,0,0
78,4979,10,W,0,0
79,4980,10,W,0,0
80,4981,10,W,0,0
81,4982,10,W,0,0
82,4983,10,W,0,0
83,4984,10,W,0,0
84,4985,10,W,0,0
85,4986,10,W,0,0
86,4987,10,W,0,0
87,4988,10,W,0,0
88,4989,10,W,0,0
89,4990,10,W,0,0
90,4991,10,W,0,0
91,4992,10,W,1,0
92,4993,10,W,1,0
93,4994,10,W,0,0
94,4995,10,W,0,0
95,4996,10,W,0,0
96,4997,10,W,0,0
97,4998,10,W,0,0
98,4999,10,W,0,0
99,5000,10,W,0,0
100,5001,10,W,0,0
101,5002,10,W,0,0
102,5003,10,W,0,0
103,5004,10,W,0,0
104,5005,10,W,0,0
105,5006,10,W,0,0
106,5007,10,W,0,0
107,5008,10,W,0,0
108,5009,10,W,1,0
109,5010,10,W,1,0
110,5011,10,W,1,0
111,5012,10,W,1,0
112,5013,10,W,1,0
113,5014,10,W,1,0
114,5015,10,W,1,0
115,5016,10,W,1,0
116,5017,10,W,1,0
117,5018,10,W,1,0
118,5019,10,W,1,0
119,5020,10,W,0,0
120,5021,10,W,0,0
121,5022,10,W,0,0
122,5023,10,W,0,0
123,5024,10,W,0,0
124,5025,10,W,0,0
125,5026,10,W,0,0
126,5027,10,W,0,0
127,5028,10,W,0,0
128,5029,10,W,1,0
129,5030,10,W,1,0
130,5031,10,W,1,0
131,5032,10,W,1,0
132,5033,10,W,1,0
133,5034,10,W,0,0
134,5035,10,W,0,0
135,5036,10,W,0,0
136,5037,10,W,0,0
137,5038,10,W,0,0
138,5039,10,W,0,0
139,5040,10,W,0,0
140,5041,10,W,0,0
141,5042,10,W,0,0
142,5043,10,W,0,0
143,5044,10,W,0,0
144,5045,10,W,0,0
145,5046,10,W,0,0
146,5047,10,W,0,0
147,5048,10,W,0,0
148,5049,10,W,0,0
149,5050,10,W,0,0
150,5051,10,W,1,0
151,5052,10,W,1,0
152,5053,10,W,1,0
153,5054,10,W,1,0
154,5055,10,W,1,0
155,5056,10,W,1,0
156,5057,10,W,0,0
157,5058,10,W,0,0
158,5059,10,W,0,0
159,5060,10,W,0,0
160,5061,10,W,0,0
161,5062,10,W,0,0
162,5063,10,W,0,0
163,5064,10,W,0,0
164,5065,10,W,0,0
165,5066,10,W,0,0
166,5067,10,W,0,0
167,5068,10,W,0,0
168,5069,10,W,0,0
169,5070,10,W,0,0
170,5071,10,W,1,0
171,5072,10,W,1,0
172,5073,10,W,1,0
173,5074,10,W,1,0
174,5075,10,W,1,0
175,5076,10,W,0,0
176,5077,10,W,0,0
177,5078,10,W,0,0
178,5079,10,W,0,0
179,5080,10,W,0,0
180,5081,10,W,0,0
181,5082,10,W,0,0
182,5083,10,W,0,0
183,5084,10,W,0,0
184,5085,10,W,0,0
185,5086,10,W,0,0
186,5087,10,W,0,0
187,5088,10,W,0,0
188,5089,10,W,0,0
189,5090,10,W,0,0
190,5091,10,W,0,0
191,5092,10,W,1,0
192,5093,10,W,0,0
193,5094,10,W,0,0
194,5095,10,W,0,0
195,5096,10,W,0,0
196,5097,10,W,1,0
197,5098,10,W,1,0
198,5099,10,W,1,0
199,5100,10,W,1,0
