PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
2027,0.0,0.0,47.0225,10678.611,11440.132,0,0,0,0
31492,0.0,0.0,50.669373,9400.191,10911.706,0,0,0,0
38969,0.0,0.0,33.564373,11834.998,11559.757,0,0,0,0
1,0.0,0.0,50.611874,11349.043,10399.893,0,0,0,0
2,0.0,0.0,34.5475,11260.239,10850.201,0,0,0,0
3,0.0,0.0,37.791874,10720.317,11220.376,0,0,0,0
45286,0.0,0.0,54.01375,9540.865,11212.937,0,0,0,0
45292,0.0,0.0,52.5725,11392.793,9506.395,0,0,0,0
45294,0.0,0.0,59.431873,11598.767,8723.283,0,0,0,0
45295,0.0,0.0,59.54687,11772.635,8142.1313,0,0,0,0
45298,0.0,0.0,59.398125,11601.411,8724.351,0,0,0,0
45299,0.0,0.0,59.26375,11610.514,8692.4,0,0,0,0
45307,0.0,0.0,59.73,12456.313,9061.466,0,0,0,0
45308,0.0,0.0,59.121872,12365.034,9139.528,0,0,0,0
45309,0.0,0.0,59.35125,12397.333,9112.039,0,0,0,0
45315,0.0,0.0,34.160625,11278.246,10915.263,0,0,0,0
45319,0.0,0.0,34.474373,11497.439,11158.668,0,0,0,0
45323,0.0,0.0,34.746872,11672.369,11624.023,0,0,0,0
45326,0.0,0.0,33.815624,11384.661,11070.259,0,0,0,0
45328,0.0,0.0,34.604374,11496.356,11172.036,0,0,0,0
45337,0.0,0.0,34.78125,11681.871,11600.574,0,0,0,0
45341,0.0,0.0,36.08875,11557.686,11565.827,0,0,0,0
45345,0.0,0.0,47.808125,11244.11,10386.893,0,0,0,0
45351,0.0,0.0,49.331875,11262.545,10366.425,0,0,0,0
45356,0.0,0.0,53.184998,11310.874,10055.423,0,0,0,0
45360,0.0,0.0,35.399376,11363.965,11394.153,0,0,0,0
45361,0.0,0.0,43.849373,10700.823,11348.439,0,0,0,0
45362,0.0,0.0,35.165,11666.917,11580.151,0,0,0,0
45368,0.0,0.0,35.53125,11127.366,10983.953,0,0,0,0
45369,0.0,0.0,34.2225,11754.131,11667.722,0,0,0,0
45370,0.0,0.0,53.774998,9576.277,11194.998,0,0,0,0
45372,0.0,0.0,33.90875,10978.164,10872.714,0,0,0,0
45373,0.0,0.0,34.07,11781.0625,11641.4,0,0,0,0
45374,0.0,0.0,34.76,11863.304,11721.672,0,0,0,0
45375,0.0,0.0,53.516872,9561.274,11171.085,0,0,0,0
45378,0.0,0.0,52.598125,11308.48,10161.546,0,0,0,0
45379,0.0,0.0,52.51,11414.991,9492.277,0,0,0,0
45382,0.0,0.0,52.499374,11395.96,9506.878,0,0,0,0
