VID,PID,Hang,Vang
215,44927,70.0,90.0
216,44928,70.0,90.0
217,44929,95.0,90.0
218,44930,95.0,90.0
219,44931,95.0,90.0
220,44932,25.0,90.0
221,44933,25.0,90.0
222,44934,25.0,90.0
223,44935,25.0,90.0
224,44936,25.0,90.0
225,44937,25.0,90.0
226,44938,215.0,90.0
227,44939,215.0,90.0
228,44940,215.0,90.0
229,44941,290.0,90.0
230,44942,290.0,90.0
231,44943,290.0,90.0
232,44944,210.0,90.0
233,44945,210.0,90.0
234,44946,210.0,90.0
235,44947,295.0,90.0
236,44948,295.0,90.0
237,44949,295.0,90.0
238,44950,105.0,90.0
239,44951,105.0,90.0
240,44952,105.0,90.0
241,44953,105.0,90.0
242,44954,105.0,90.0
243,44955,105.0,90.0
244,44956,285.0,90.0
245,44957,285.0,90.0
246,44958,285.0,90.0
247,44959,285.0,90.0
248,44960,285.0,90.0
249,44961,285.0,90.0
250,44962,275.0,90.0
251,44963,275.0,90.0
252,44964,275.0,90.0
253,44965,295.0,90.0
254,44966,295.0,90.0
255,44967,295.0,90.0
256,44968,235.0,90.0
257,44969,235.0,90.0
258,44970,235.0,90.0
259,44971,120.0,90.0
260,44972,120.0,90.0
261,44973,120.0,90.0
262,44974,300.0,90.0
263,44975,300.0,90.0
264,44976,300.0,90.0
265,44977,110.0,90.0
266,44978,110.0,90.0
267,44979,110.0,90.0
268,44980,110.0,90.0
269,44981,110.0,90.0
270,44982,110.0,90.0
271,44983,295.0,90.0
272,44984,295.0,90.0
273,44985,295.0,90.0
274,44986,295.0,90.0
275,44987,295.0,90.0
276,44988,295.0,90.0
277,44989,90.0,90.0
278,44990,90.0,90.0
279,44991,90.0,90.0
280,44992,85.0,90.0
281,44993,85.0,90.0
282,44994,85.0,90.0
283,44995,85.0,90.0
284,44996,85.0,90.0
285,44997,85.0,90.0
286,44998,110.0,90.0
287,44999,110.0,90.0
288,45000,110.0,90.0
289,45001,280.0,90.0
290,45002,280.0,90.0
291,45003,280.0,90.0
292,45004,215.0,90.0
293,45005,215.0,90.0
294,45006,215.0,90.0
295,45007,40.0,90.0
296,45008,40.0,90.0
297,45009,40.0,90.0
298,45010,282.0,90.0
299,45011,282.0,90.0
300,45012,282.0,90.0
301,45013,275.0,90.0
302,45014,275.0,90.0
303,45015,275.0,90.0
304,45016,30.0,90.0
305,45017,30.0,90.0
306,45018,30.0,90.0
307,45019,210.0,90.0
308,45020,210.0,90.0
309,45021,210.0,90.0
310,45022,220.0,90.0
311,45023,220.0,90.0
312,45024,220.0,90.0
313,45025,30.0,90.0
314,45026,30.0,90.0
315,45027,30.0,90.0
316,45028,30.0,90.0
317,45029,30.0,90.0
318,45030,30.0,90.0
319,45031,40.0,90.0
320,45032,40.0,90.0
321,45033,40.0,90.0
322,45034,225.0,90.0
323,45035,225.0,90.0
324,45036,225.0,90.0
325,45037,225.0,90.0
326,45038,225.0,90.0
327,45039,225.0,90.0
328,45040,225.0,90.0
329,45041,225.0,90.0
330,45042,225.0,90.0
331,45043,225.0,90.0
332,45044,225.0,90.0
333,45045,225.0,90.0
334,45046,335.0,90.0
335,45047,335.0,90.0
336,45048,335.0,90.0
337,45049,300.0,90.0
338,45050,300.0,90.0
339,45051,300.0,90.0
340,45052,300.0,90.0
341,45053,300.0,90.0
342,45054,300.0,90.0
343,45055,300.0,90.0
344,45056,300.0,90.0
345,45057,300.0,90.0
346,45058,122.0,90.0
347,45059,122.0,90.0
348,45060,122.0,90.0
349,45061,122.0,90.0
350,45062,122.0,90.0
351,45063,122.0,90.0
352,45064,122.0,90.0
353,45065,122.0,90.0
354,45066,122.0,90.0
355,45067,122.0,90.0
356,45068,122.0,90.0
357,45069,122.0,90.0
358,45070,130.0,90.0
359,45071,130.0,90.0
360,45072,130.0,90.0
361,45073,73.0,90.0
362,45074,73.0,90.0
363,45075,73.0,90.0
364,45076,80.0,90.0
365,45077,80.0,90.0
366,45078,80.0,90.0
367,45079,90.0,90.0
368,45080,90.0,90.0
369,45081,90.0,90.0
370,45082,275.0,90.0
371,45083,275.0,90.0
372,45084,275.0,90.0
373,45085,270.0,90.0
374,45086,270.0,90.0
375,45087,270.0,90.0
376,45088,275.0,90.0
377,45089,275.0,90.0
378,45090,275.0,90.0
379,45091,210.0,90.0
380,45092,210.0,90.0
381,45093,210.0,90.0
382,45094,30.0,90.0
383,45095,30.0,90.0
384,45096,30.0,90.0
385,45097,210.0,90.0
386,45098,210.0,90.0
387,45099,210.0,90.0
388,45100,210.0,90.0
389,45101,210.0,90.0
390,45102,210.0,90.0
391,45103,210.0,90.0
392,45104,210.0,90.0
393,45105,210.0,90.0
394,45106,15.0,90.0
395,45107,15.0,90.0
396,45108,15.0,90.0
397,45109,30.0,90.0
398,45110,30.0,90.0
399,45111,30.0,90.0
400,45112,210.0,90.0
401,45113,210.0,90.0
402,45114,210.0,90.0
403,45115,210.0,90.0
404,45116,210.0,90.0
405,45117,210.0,90.0
406,45118,225.0,90.0
407,45119,225.0,90.0
408,45120,225.0,90.0
409,45121,45.0,90.0
410,45122,45.0,90.0
411,45123,45.0,90.0
412,45124,50.0,90.0
413,45125,50.0,90.0
414,45126,50.0,90.0
415,45127,300.0,90.0
416,45128,300.0,90.0
417,45129,300.0,90.0
418,45130,210.0,90.0
419,45131,210.0,90.0
420,45132,210.0,90.0
421,45133,40.0,90.0
422,45134,40.0,90.0
423,45135,40.0,90.0
424,45136,35.0,90.0
425,45137,35.0,90.0
426,45138,35.0,90.0
427,45139,40.0,90.0
428,45140,40.0,90.0
429,45141,40.0,90.0
430,45142,45.0,90.0
431,45143,45.0,90.0
432,45144,45.0,90.0
433,45145,260.0,90.0
434,45146,260.0,90.0
435,45147,260.0,90.0
436,45148,270.0,90.0
437,45149,270.0,90.0
438,45150,270.0,90.0
439,45151,285.0,90.0
440,45152,285.0,90.0
441,45153,285.0,90.0
442,45154,285.0,90.0
443,45155,285.0,90.0
444,45156,285.0,90.0
445,45157,225.0,90.0
446,45158,225.0,90.0
447,45159,225.0,90.0
448,45160,225.0,90.0
449,45161,225.0,90.0
450,45162,225.0,90.0
451,45163,300.0,90.0
452,45164,300.0,90.0
453,45165,300.0,90.0
454,45166,30.0,90.0
455,45167,30.0,90.0
456,45168,30.0,90.0
457,45169,290.0,90.0
458,45170,290.0,90.0
459,45171,290.0,90.0
460,45172,290.0,90.0
461,45173,290.0,90.0
462,45174,290.0,90.0
463,45175,210.0,90.0
464,45176,210.0,90.0
465,45177,210.0,90.0
466,45178,300.0,90.0
467,45179,300.0,90.0
468,45180,300.0,90.0
469,45181,35.0,90.0
470,45182,35.0,90.0
471,45183,35.0,90.0
472,45184,35.0,90.0
473,45185,35.0,90.0
474,45186,35.0,90.0
475,45187,30.0,90.0
476,45188,30.0,90.0
477,45189,30.0,90.0
478,45190,32.0,90.0
479,45191,32.0,90.0
480,45192,32.0,90.0
481,45193,32.0,90.0
482,45194,32.0,90.0
483,45195,32.0,90.0
484,45196,32.0,90.0
485,45197,32.0,90.0
486,45198,32.0,90.0
487,45199,285.0,90.0
488,45200,285.0,90.0
489,45201,285.0,90.0
490,45202,145.0,90.0
491,45203,145.0,90.0
492,45204,145.0,90.0
493,45205,300.0,90.0
494,45206,300.0,90.0
495,45207,300.0,90.0
496,45208,135.0,90.0
497,45209,135.0,90.0
498,45210,135.0,90.0
499,45211,135.0,90.0
500,45212,135.0,90.0
501,45213,135.0,90.0
502,45214,135.0,90.0
503,45215,135.0,90.0
504,45216,135.0,90.0
505,45217,60.0,90.0
506,45218,165.0,90.0
507,45219,175.0,90.0
508,45220,165.0,90.0
509,45221,80.0,90.0
510,45222,80.0,90.0
511,45223,275.0,90.0
512,45224,200.0,90.0
