x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9445.5977,10054.3105,35.6818,1.7644,18.0000,0,0,0,0,0
9445.4053,10055.2915,35.6935,1.7732,18.0000,0,0,0,0,0
9445.1958,10056.2686,35.7052,1.7988,18.0000,0,0,0,0,0
9444.9535,10057.2382,35.7169,1.8389,18.0000,0,0,0,0,0
9444.6668,10058.1944,35.7286,1.8903,18.0000,0,0,0,0,0
9444.3253,10059.1374,35.7401,1.9484,18.0000,0,0,0,0,0
9443.9287,10060.0555,35.7516,2.0092,18.0000,0,0,0,0,0
9443.4770,10060.9469,35.7628,2.0682,18.0000,0,0,0,0,0
9442.9750,10061.8119,35.7739,2.1237,18.0000,0,0,0,0,0
9442.4269,10062.6485,35.7850,2.1777,18.0000,0,0,0,0,0
9441.8345,10063.4544,35.7960,2.2328,18.0000,0,0,0,0,0
9441.1980,10064.2256,35.8070,2.2910,18.0000,0,0,0,0,0
9440.5160,10064.9572,35.8181,2.3545,18.0000,0,0,0,0,0
9439.7870,10065.6414,35.8292,2.4259,18.0000,0,0,0,0,0
9439.0089,10066.2676,35.8404,2.5050,18.0000,0,0,0,0,0
9438.1800,10066.8295,35.8515,2.5852,18.0000,0,0,0,0,0
9437.3101,10067.3243,35.8619,2.6608,18.0000,0,0,0,0,0
9436.4077,10067.7540,35.8710,2.7301,18.0000,0,0,0,0,0
9435.4785,10068.1237,35.8784,2.7922,18.0000,0,0,0,0,0
9434.5292,10068.4384,35.8834,2.8469,18.0000,0,0,0,0,0
9433.5656,10068.7043,35.8854,2.8939,18.0000,0,0,0,0,0
9432.5919,10068.9283,35.8837,2.9363,18.0000,0,0,0,0,0
9431.6084,10069.1118,35.8778,2.9822,18.0000,0,0,0,0,0
9430.6176,10069.2457,35.8680,3.0368,18.0000,0,0,0,0,0
9429.6210,10069.3209,35.8548,3.0990,18.0000,0,0,0,0,0
9428.6213,10069.3308,35.8388,-3.1175,18.0000,0,0,0,0,0
9427.6248,10069.2728,35.8207,-3.0492,18.0000,0,0,0,0,0
9426.6292,10069.1462,35.8012,-2.9828,18.0000,0,0,0,0,0
9425.6452,10068.9557,35.7810,-2.9213,18.0000,0,0,0,0,0
9424.6811,10068.7100,35.7607,-2.8662,18.0000,0,0,0,0,0
9423.7270,10068.4137,35.7403,-2.8169,18.0000,0,0,0,0,0
9422.7865,10068.0722,35.7199,-2.7705,18.0000,0,0,0,0,0
9421.8629,10067.6883,35.6997,-2.7251,18.0000,0,0,0,0,0
9420.9573,10067.2630,35.6799,-2.6792,18.0000,0,0,0,0,0
9420.0722,10066.7956,35.6606,-2.6310,18.0000,0,0,0,0,0
9419.2127,10066.2859,35.6420,-2.5788,18.0000,0,0,0,0,0
9418.3830,10065.7300,35.6242,-2.5214,18.0000,0,0,0,0,0
9417.5859,10065.1241,35.6076,-2.4622,18.0000,0,0,0,0,0
9416.8270,10064.4731,35.5923,-2.4049,18.0000,0,0,0,0,0
9416.1060,10063.7818,35.5784,-2.3525,18.0000,0,0,0,0,0
9415.4197,10063.0556,35.5660,-2.3069,18.0000,0,0,0,0,0
9414.7643,10062.3008,35.5550,-2.2691,18.0000,0,0,0,0,0
9414.1354,10061.5256,35.5454,-2.2396,18.0000,0,0,0,0,0
9413.5232,10060.7303,35.5370,-2.2183,18.0000,0,0,0,0,0
9412.9265,10059.9271,35.5298,-2.2036,18.0000,0,0,0,0,0
9412.3418,10059.1194,35.5235,-2.1923,18.0000,0,0,0,0,0
9411.7635,10058.3031,35.5180,-2.1828,18.0000,0,0,0,0,0
9411.1920,10057.4813,35.5130,-2.1745,18.0000,0,0,0,0,0
9410.6270,10056.6550,35.5084,-2.1672,18.0000,0,0,0,0,0
9410.0678,10055.8251,35.5040,-2.1606,18.0000,0,0,0,0,0
9409.5131,10054.9907,35.4997,-2.1546,18.0000,0,0,0,0,0
9408.9658,10054.1569,35.4953,-2.1491,18.0000,0,0,0,0,0
9408.4247,10053.3231,35.4905,-2.1435,18.0000,0,0,0,0,0
9407.8823,10052.4763,35.4852,-2.1363,18.0000,0,0,0,0,0
9407.3488,10051.6276,35.4793,-2.1261,18.0000,0,0,0,0,0
9406.8283,10050.7773,35.4729,-2.1129,18.0000,0,0,0,0,0
9406.3193,10049.9183,35.4660,-2.0977,18.0000,0,0,0,0,0
9405.8239,10049.0509,35.4589,-2.0816,18.0000,0,0,0,0,0
9405.3435,10048.1772,35.4516,-2.0656,18.0000,0,0,0,0,0
9404.8671,10047.2777,35.4441,-2.0510,18.0000,0,0,0,0,0
9404.4162,10046.3970,35.4368,-2.0362,18.0000,0,0,0,0,0
9403.9758,10045.5031,35.4296,-2.0201,18.0000,0,0,0,0,0
9403.5486,10044.5975,35.4224,-2.0024,18.0000,0,0,0,0,0
9403.1388,10043.6856,35.4153,-1.9831,18.0000,0,0,0,0,0
9402.7472,10042.7653,35.4083,-1.9625,18.0000,0,0,0,0,0
9402.3754,10041.8374,35.4014,-1.9405,18.0000,0,0,0,0,0
9402.0248,10040.9011,35.3945,-1.9171,18.0000,0,0,0,0,0
9401.6974,10039.9584,35.3878,-1.8920,18.0000,0,0,0,0,0
9401.3916,10038.9983,35.3812,-1.8658,18.0000,0,0,0,0,0
9401.1136,10038.0373,35.3747,-1.8387,18.0000,0,0,0,0,0
9400.8637,10037.0755,35.3684,-1.8123,18.0000,0,0,0,0,0
9400.6368,10036.1014,35.3620,-1.7874,18.0000,0,0,0,0,0
9400.4338,10035.1219,35.3557,-1.7633,18.0000,0,0,0,0,0
9400.2541,10034.1379,35.3493,-1.7399,18.0000,0,0,0,0,0
9400.0972,10033.1500,35.3429,-1.7169,18.0000,0,0,0,0,0
9399.9629,10032.1587,35.3362,-1.6940,18.0000,0,0,0,0,0
9399.8513,10031.1647,35.3293,-1.6711,18.0000,0,0,0,0,0
9399.7626,10030.1681,35.3222,-1.6477,18.0000,0,0,0,0,0
9399.6976,10029.1706,35.3147,-1.6238,18.0000,0,0,0,0,0
9399.6571,10028.1782,35.3069,-1.5984,18.0000,0,0,0,0,0
9399.6425,10027.1746,35.2984,-1.5712,18.0000,0,0,0,0,0
9399.6563,10026.1697,35.2896,-1.5412,18.0000,0,0,0,0,0
9399.7018,10025.1727,35.2803,-1.5080,18.0000,0,0,0,0,0
9399.7816,10024.1759,35.2708,-1.4725,18.0000,0,0,0,0,0
9399.8981,10023.1833,35.2611,-1.4344,18.0000,0,0,0,0,0
9400.0533,10022.1961,35.2513,-1.3943,18.0000,0,0,0,0,0
9400.2491,10021.2155,35.2416,-1.3528,18.0000,0,0,0,0,0
9400.4853,10020.2462,35.2320,-1.3101,18.0000,0,0,0,0,0
9400.7656,10019.2796,35.2227,-1.2675,18.0000,0,0,0,0,0
9401.0845,10018.3311,35.2138,-1.2253,18.0000,0,0,0,0,0
9401.4410,10017.4033,35.2055,-1.1833,18.0000,0,0,0,0,0
9401.8377,10016.4857,35.1978,-1.1425,18.0000,0,0,0,0,0
9402.2714,10015.5844,35.1909,-1.1026,18.0000,0,0,0,0,0
9402.7402,10014.7010,35.1848,-1.0640,18.0000,0,0,0,0,0
9403.2420,10013.8361,35.1797,-1.0269,18.0000,0,0,0,0,0
9403.7747,10012.9901,35.1755,-0.9915,18.0000,0,0,0,0,0
9404.3362,10012.1633,35.1723,-0.9578,18.0000,0,0,0,0,0
9404.9246,10011.3552,35.1702,-0.9260,18.0000,0,0,0,0,0
9405.5364,10010.5672,35.1691,-0.8954,18.0000,0,0,0,0,0
9406.1845,10009.7825,35.1691,-0.8674,18.0000,0,0,0,0,0
9406.8384,10009.0321,35.1700,-0.8414,18.0000,0,0,0,0,0
9407.5052,10008.3049,35.1719,-0.8184,18.0000,0,0,0,0,0
9408.1986,10007.5790,35.1743,-0.7989,18.0000,0,0,0,0,0
9408.9025,10006.8694,35.1772,-0.7812,18.0000,0,0,0,0,0
9409.6187,10006.1706,35.1802,-0.7657,18.0000,0,0,0,0,0
9410.3448,10005.4827,35.1834,-0.7519,18.0000,0,0,0,0,0
9411.0800,10004.8041,35.1864,-0.7395,18.0000,0,0,0,1,0
9411.8230,10004.1343,35.1892,-0.7283,18.0000,0,0,0,0,0
9412.5732,10003.4723,35.1915,-0.7183,18.0000,0,0,0,0,0
9413.3295,10002.8176,35.1933,-0.7093,18.0000,0,0,0,0,0
9414.0916,10002.1691,35.1944,-0.7011,18.0000,0,0,0,0,0
9414.8580,10001.5272,35.1945,-0.6939,18.0000,0,0,0,0,0
9415.6248,10000.8937,35.1934,-0.6875,18.0000,0,0,0,0,0
9416.4014,10000.2598,35.1909,-0.6825,18.0000,0,0,0,0,0
9417.1824,9999.6278,35.1869,-0.6794,18.0000,0,0,0,0,0
9417.9594,9999.0014,35.1817,-0.6787,18.0000,0,0,0,0,0
9418.7375,9998.3734,35.1753,-0.6807,18.0000,0,0,0,0,0
9419.5131,9997.7432,35.1679,-0.6855,18.0000,0,0,0,0,0
9420.2848,9997.1081,35.1596,-0.6931,18.0000,0,0,0,0,0
9421.0508,9996.4661,35.1508,-0.7033,18.0000,0,0,0,0,0
9421.8092,9995.8154,35.1417,-0.7162,18.0000,0,0,0,0,0
9422.5588,9995.1537,35.1324,-0.7311,18.0000,0,0,0,0,0
9423.2963,9994.4814,35.1233,-0.7481,18.0000,0,0,0,0,0
9424.0268,9993.7914,35.1144,-0.7664,18.0000,0,0,0,0,0
9424.7490,9993.0830,35.1060,-0.7857,18.0000,0,0,0,0,0
9425.4416,9992.3758,35.0984,-0.8078,18.0000,0,0,0,0,0
9426.1204,9991.6486,35.0912,-0.8337,18.0000,0,0,0,0,0
9426.7833,9990.8979,35.0842,-0.8632,18.0000,0,0,0,0,0
9427.4213,9990.1279,35.0774,-0.8958,18.0000,0,0,0,0,0
9428.0324,9989.3372,35.0705,-0.9310,18.0000,0,0,0,0,0
9428.6146,9988.5247,35.0635,-0.9680,18.0000,0,0,0,0,0
9429.1656,9987.6906,35.0563,-1.0064,18.0000,0,0,0,0,0
9429.6839,9986.8354,35.0488,-1.0458,18.0000,0,0,0,0,0
9430.1680,9985.9601,35.0409,-1.0855,18.0000,0,0,0,0,0
9430.6171,9985.0659,35.0326,-1.1251,18.0000,0,0,0,0,0
9431.0302,9984.1552,35.0239,-1.1644,18.0000,0,0,0,0,0
9431.4072,9983.2301,35.0146,-1.2025,18.0000,0,0,0,0,0
9431.7472,9982.2972,35.0050,-1.2407,18.0000,0,0,0,0,0
9432.0592,9981.3269,34.9946,-1.2767,18.0000,0,0,0,0,0
9432.3356,9980.3542,34.9838,-1.3110,18.0000,0,0,0,0,0
9432.5704,9979.4038,34.9728,-1.3430,18.0000,0,0,0,0,0
9432.7815,9978.4309,34.9614,-1.3699,18.0000,0,0,0,0,0
