x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9401.8099,10005.9050,35.0047,-0.2187,18.0000,0,0,0,0,0
9402.7891,10005.6708,35.0201,-0.2504,18.0000,0,0,0,0,0
9403.7502,10005.4087,35.0341,-0.2811,18.0000,0,0,0,0,0
9404.7041,10005.1178,35.0470,-0.3092,18.0000,0,0,0,0,0
9405.6532,10004.8007,35.0590,-0.3346,18.0000,0,0,0,0,0
9406.5936,10004.4610,35.0704,-0.3577,18.0000,0,0,0,0,0
9407.5264,10004.1005,35.0814,-0.3788,18.0000,0,0,0,0,0
9408.4517,10003.7213,35.0922,-0.3981,18.0000,0,0,0,0,0
9409.3699,10003.3252,35.1031,-0.4157,18.0000,0,0,0,0,0
9410.2814,10002.9136,35.1142,-0.4319,18.0000,0,0,0,0,0
9411.1862,10002.4880,35.1258,-0.4468,18.0000,0,0,0,0,0
9412.0857,10002.0492,35.1381,-0.4606,18.0000,0,0,0,0,0
9412.9781,10001.5989,35.1513,-0.4744,18.0000,0,0,0,0,0
9413.8639,10001.1361,35.1649,-0.4893,18.0000,0,0,0,0,0
9414.7428,10000.6592,35.1786,-0.5056,18.0000,0,0,0,0,0
9415.6133,10000.1675,35.1919,-0.5232,18.0000,0,0,0,0,0
9416.4748,9999.6601,35.2041,-0.5420,18.0000,0,0,0,0,0
9417.3264,9999.1361,35.2150,-0.5618,18.0000,0,0,0,0,0
9418.1670,9998.5950,35.2239,-0.5825,18.0000,0,0,0,0,0
9418.9965,9998.0359,35.2305,-0.6038,18.0000,0,0,0,0,0
9419.8120,9997.4603,35.2343,-0.6260,18.0000,0,0,0,0,0
9420.6217,9996.8610,35.2350,-0.6483,18.0000,0,0,0,0,0
9421.4087,9996.2507,35.2323,-0.6720,18.0000,0,0,0,0,0
9422.1819,9995.6197,35.2265,-0.6979,18.0000,0,0,0,0,0
9422.9398,9994.9666,35.2180,-0.7258,18.0000,0,0,0,0,0
9423.6781,9994.2920,35.2074,-0.7558,18.0000,0,0,0,0,0
9424.3950,9993.5952,35.1950,-0.7874,18.0000,0,0,0,0,0
9425.0891,9992.8754,35.1812,-0.8205,18.0000,0,0,0,0,0
9425.7585,9992.1326,35.1665,-0.8546,18.0000,0,0,0,0,0
9426.4016,9991.3672,35.1511,-0.8897,18.0000,0,0,0,0,0
9427.0172,9990.5797,35.1355,-0.9252,18.0000,0,0,0,0,0
9427.6037,9989.7716,35.1199,-0.9611,18.0000,0,0,0,0,0
9428.1632,9988.9390,35.1045,-0.9966,18.0000,0,0,0,0,0
9428.6911,9988.0906,35.0897,-1.0302,18.0000,0,0,0,0,0
9429.1906,9987.2273,35.0754,-1.0597,18.0000,0,0,0,0,0
9429.6688,9986.3473,35.0615,-1.0848,18.0000,0,0,0,0,0
9430.1258,9985.4570,35.0479,-1.1066,18.0000,0,0,0,0,0
9430.5650,9984.5575,35.0345,-1.1255,18.0000,0,0,0,0,0
9430.9880,9983.6506,35.0213,-1.1420,18.0000,0,0,0,0,0
9431.3970,9982.7374,35.0082,-1.1565,18.0000,0,0,0,0,0
9431.7936,9981.8187,34.9950,-1.1690,18.0000,0,0,0,0,0
9432.1797,9980.8953,34.9816,-1.1795,18.0000,0,0,0,0,0
9432.5574,9979.9672,34.9678,-1.1880,18.0000,0,0,0,0,0
9432.9279,9979.0376,34.9535,-1.1934,18.0000,0,0,0,0,0
9433.2922,9978.1135,34.9382,-1.1980,18.0000,0,0,0,0,0
9433.6536,9977.1820,34.9213,-1.2194,18.0000,0,0,0,0,0
9433.9798,9976.2383,34.9033,-1.2776,18.0000,0,0,0,0,0
9434.2298,9975.2736,34.8856,-1.3629,18.0000,0,0,0,0,0
9434.3913,9974.2875,34.8697,-1.4443,18.0000,0,0,0,0,0
9434.4810,9973.2983,34.8560,-1.5047,18.0000,0,0,0,0,0
9434.5233,9972.2946,34.8440,-1.5444,18.0000,0,0,0,0,0
9434.5338,9971.3013,34.8336,-1.5701,18.0000,0,0,0,0,0
9434.5247,9970.3306,34.8243,-1.5884,18.0000,0,0,0,0,0
9434.4981,9969.2670,34.8151,-1.6007,18.0000,0,0,0,0,0
9434.4619,9968.2320,34.8069,-1.6089,18.0000,0,0,0,0,0
9434.4221,9967.2720,34.7996,-1.6153,18.0000,0,0,0,0,0
9434.3755,9966.2907,34.7927,-1.6202,18.0000,0,0,0,0,0
9434.3244,9965.2969,34.7859,-1.6239,18.0000,0,0,0,0,0
9434.2696,9964.2973,34.7793,-1.6270,18.0000,0,0,0,0,0
9434.2120,9963.2994,34.7729,-1.6296,18.0000,0,0,0,0,0
9434.1520,9962.3007,34.7667,-1.6319,18.0000,0,0,0,0,0
9434.0898,9961.3023,34.7606,-1.6339,18.0000,0,0,0,0,0
9434.0258,9960.3038,34.7547,-1.6357,18.0000,0,0,0,0,0
