ID,AID,LinkID
2,89,22684
1,90,22761
3,91,13254
4,92,16175
5,93,13610
6,94,0
8,95,0
7,96,0
10,97,0
9,98,0
12,99,0
14,100,0
13,101,0
16,102,0
15,103,0
17,104,0
