ID,LID,Width,Color,type,LinkID
1,33446,5.0,W,0,0
2,33447,5.0,W,0,0
3,33448,5.0,W,0,0
4,33449,5.0,W,0,0
5,33450,5.0,W,0,0
6,33451,5.0,W,0,0
7,33452,5.0,W,0,0
8,33453,5.0,W,0,0
9,33454,5.0,W,0,0
10,33455,5.0,W,0,0
11,33456,5.0,W,0,0
12,33457,5.0,W,0,0
