x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
9432.5967,9944.9971,34.6646,-1.6688,18.0000,0,0,0,0,0
9432.4988,9944.0019,34.6605,-1.6688,18.0000,0,0,0,0,0
9432.4010,9943.0068,34.6564,-1.6688,18.0000,0,0,0,0,0
9432.3033,9942.0117,34.6522,-1.6687,18.0000,0,0,0,0,0
9432.2056,9941.0166,34.6480,-1.6686,18.0000,0,0,0,0,0
9432.1079,9940.0214,34.6439,-1.6685,18.0000,0,0,0,0,0
9432.0104,9939.0262,34.6397,-1.6684,18.0000,0,0,0,0,0
9431.9130,9938.0308,34.6355,-1.6683,18.0000,0,0,0,0,0
9431.8158,9937.0354,34.6313,-1.6681,18.0000,0,0,0,0,0
9431.7187,9936.0403,34.6271,-1.6679,18.0000,0,0,0,0,0
9431.6218,9935.0453,34.6229,-1.6678,18.0000,0,0,0,0,0
9431.5251,9934.0502,34.6187,-1.6676,18.0000,0,0,0,0,0
9431.4286,9933.0550,34.6144,-1.6673,18.0000,0,0,0,0,0
9431.3323,9932.0598,34.6102,-1.6671,18.0000,0,0,0,0,0
9431.2363,9931.0645,34.6059,-1.6669,18.0000,0,0,0,0,0
9431.1405,9930.0692,34.6016,-1.6666,18.0000,0,0,0,0,0
9431.0449,9929.0739,34.5973,-1.6664,18.0000,0,0,0,0,0
9430.9496,9928.0785,34.5929,-1.6661,18.0000,0,0,0,0,0
9430.8546,9927.0831,34.5886,-1.6659,18.0000,0,0,0,0,0
9430.7598,9926.0877,34.5842,-1.6656,18.0000,0,0,0,0,0
9430.6653,9925.0922,34.5798,-1.6653,18.0000,0,0,0,0,0
9430.5711,9924.0968,34.5753,-1.6650,18.0000,0,0,0,0,0
9430.4772,9923.1013,34.5709,-1.6647,18.0000,0,0,0,0,0
9430.3835,9922.1058,34.5664,-1.6645,18.0000,0,0,0,0,0
9430.2901,9921.1102,34.5619,-1.6642,18.0000,0,0,0,0,0
9430.1970,9920.1145,34.5574,-1.6639,18.0000,0,0,0,0,0
9430.1042,9919.1187,34.5529,-1.6636,18.0000,0,0,0,0,0
9430.0116,9918.1227,34.5483,-1.6633,18.0000,0,0,0,0,0
9429.9193,9917.1264,34.5437,-1.6631,18.0000,0,0,0,0,0
9429.8272,9916.1301,34.5391,-1.6628,18.0000,0,0,0,0,0
9429.7356,9915.1352,34.5345,-1.6625,18.0000,0,0,0,0,0
9429.6442,9914.1404,34.5298,-1.6622,18.0000,0,0,0,0,0
9429.5530,9913.1439,34.5252,-1.6620,18.0000,0,0,0,0,0
9429.4624,9912.1518,34.5205,-1.6617,18.0000,0,0,0,0,0
9429.3709,9911.1465,34.5157,-1.6615,18.0000,0,0,0,0,0
9429.2804,9910.1499,34.5110,-1.6612,18.0000,0,0,0,0,0
9429.1907,9909.1590,34.5063,-1.6610,18.0000,0,0,0,0,0
9429.1008,9908.1631,34.5015,-1.6607,18.0000,0,0,0,0,0
9429.0111,9907.1673,34.4967,-1.6605,18.0000,0,0,0,0,0
9428.9216,9906.1714,34.4919,-1.6604,18.0000,0,0,0,0,0
9428.8322,9905.1755,34.4871,-1.6602,18.0000,0,0,0,0,0
9428.7431,9904.1796,34.4823,-1.6600,18.0000,0,0,0,0,0
9428.6540,9903.1837,34.4774,-1.6599,18.0000,0,0,0,0,0
9428.5651,9902.1877,34.4726,-1.6598,18.0000,0,0,0,0,0
9428.4762,9901.1917,34.4677,-1.6597,18.0000,0,0,0,0,0
9428.3875,9900.1956,34.4628,-1.6596,18.0000,0,0,0,0,0
9428.2988,9899.1995,34.4579,-1.6595,18.0000,0,0,0,0,0
9428.2102,9898.2033,34.4530,-1.6595,18.0000,0,0,0,0,0
9428.1217,9897.2072,34.4480,-1.6594,18.0000,0,0,0,0,0
9428.0332,9896.2110,34.4431,-1.6594,18.0000,0,0,0,0,0
9427.9448,9895.2148,34.4381,-1.6593,18.0000,0,0,0,0,0
9427.8563,9894.2187,34.4332,-1.6593,18.0000,0,0,0,0,0
9427.7679,9893.2226,34.4282,-1.6593,18.0000,0,0,0,0,0
9427.6795,9892.2265,34.4232,-1.6593,18.0000,0,0,0,0,0
9427.5911,9891.2304,34.4182,-1.6593,18.0000,0,0,0,0,0
9427.5026,9890.2342,34.4131,-1.6594,18.0000,0,0,0,0,0
9427.4142,9889.2380,34.4081,-1.6594,18.0000,0,0,0,0,0
9427.3256,9888.2418,34.4031,-1.6595,18.0000,0,0,0,0,0
9427.2370,9887.2456,34.3980,-1.6595,18.0000,0,0,0,0,0
9427.1484,9886.2494,34.3929,-1.6596,18.0000,0,0,0,0,0
