x,y,z,yaw,velocity,change_flag
10945.3526,11324.6872,60.5481,-2.7017,31.7711,0
10944.3952,11324.2325,60.5497,-2.7023,31.8203,0
10943.4349,11323.7787,60.5488,-2.7027,31.8872,0
10942.4722,11323.3240,60.5437,-2.7031,31.9454,0
10941.5070,11322.8695,60.5375,-2.7031,32.0576,0
10940.5406,11322.4137,60.5280,-2.7031,32.0711,0
10939.5729,11321.9564,60.5094,-2.7026,32.1302,0
10938.6044,11321.4982,60.4930,-2.7018,32.1522,0
10937.6360,11321.0382,60.4822,-2.7009,32.1365,0
10936.6671,11320.5778,60.4753,-2.6997,32.1803,0
10935.6989,11320.1152,60.4704,-2.6989,32.1799,0
10934.7312,11319.6518,60.4687,-2.6980,32.1691,0
10933.7641,11319.1872,60.4658,-2.6975,32.1636,0
10932.7966,11318.7232,60.4588,-2.6971,32.1691,0
10931.8294,11318.2587,60.4534,-2.6969,32.1805,0
10930.8617,11317.7951,60.4514,-2.6965,32.1757,0
10929.8949,11317.3313,60.4467,-2.6961,32.1622,0
10928.9286,11316.8672,60.4313,-2.6956,32.1631,0
10927.9636,11316.4023,60.4098,-2.6952,32.1058,0
10926.9997,11315.9376,60.4007,-2.6948,32.0863,0
10926.0370,11315.4736,60.4044,-2.6945,32.0428,0
10925.0761,11315.0101,60.4086,-2.6945,31.9690,0
10924.1167,11314.5475,60.4033,-2.6945,31.9215,0
10923.1590,11314.0859,60.3925,-2.6947,31.8635,0
10922.2022,11313.6257,60.3859,-2.6948,31.8093,0
10921.2468,11313.1661,60.3867,-2.6951,31.7769,0
10920.2927,11312.7063,60.3871,-2.6956,31.7720,0
10919.3382,11312.2474,60.3782,-2.6958,31.7717,0
10918.3836,11311.7888,60.3647,-2.6961,31.7911,0
10917.4289,11311.3302,60.3583,-2.6963,31.7710,0
10916.4739,11310.8723,60.3613,-2.6965,31.7666,0
10915.5205,11310.4143,60.3654,-2.6971,31.7008,0
10914.5680,11309.9575,60.3594,-2.6975,31.6540,0
10913.6167,11309.5018,60.3483,-2.6981,31.5809,0
10912.6670,11309.0489,60.3498,-2.6985,31.5242,0
10911.7189,11308.5974,60.3623,-2.6993,31.4617,0
10910.7731,11308.1475,60.3652,-2.7000,31.3638,0
10909.8292,11307.6991,60.3519,-2.7005,31.3080,0
10908.8871,11307.2535,60.3344,-2.7008,31.1981,0
10907.9479,11306.8089,60.3336,-2.7017,31.1152,0
10907.0115,11306.3656,60.3434,-2.7023,31.0292,0
10906.0773,11305.9247,60.3487,-2.7026,30.9480,0
10905.1454,11305.4854,60.3441,-2.7029,30.8730,0
10904.2162,11305.0473,60.3411,-2.7031,30.7913,0
10903.2895,11304.6105,60.3450,-2.7031,30.6646,0
10902.3650,11304.1749,60.3521,-2.7033,30.6334,0
10901.4428,11303.7407,60.3505,-2.7035,30.5422,0
10900.5232,11303.3074,60.3392,-2.7033,30.4720,0
10899.6051,11302.8761,60.3278,-2.7031,30.4024,0
10898.6896,11302.4446,60.3264,-2.7033,30.3137,0
10897.7770,11302.0143,60.3362,-2.7037,30.2228,0
10896.8662,11301.5858,60.3387,-2.7039,30.1517,0
10895.9575,11301.1592,60.3250,-2.7040,30.0580,0
10895.0516,11300.7346,60.3101,-2.7040,29.9519,0
10894.0733,11300.2761,60.3060,-2.7039,29.8682,0
10893.0983,11299.8176,60.3047,-2.7043,29.8123,0
10892.1260,11299.3617,60.3025,-2.7043,29.6844,0
10891.1570,11298.9065,60.2914,-2.7047,29.6178,0
10890.1904,11298.4528,60.2693,-2.7048,29.5394,0
10889.2257,11298.0029,60.2548,-2.7050,29.4393,0
10888.2650,11297.5532,60.2540,-2.7055,29.3246,0
10887.3068,11297.1053,60.2521,-2.7053,29.2800,0
10886.3509,11296.6587,60.2415,-2.7052,29.1756,0
10885.3985,11296.2123,60.2300,-2.7054,29.0857,0
10884.4489,11295.7667,60.2213,-2.7056,29.0285,0
10883.5016,11295.3216,60.2045,-2.7059,28.9507,0
10882.5564,11294.8793,60.1907,-2.7060,28.8554,0
10881.6140,11294.4385,60.1779,-2.7061,28.7583,0
10880.6752,11293.9984,60.1640,-2.7060,28.6822,0
10879.7384,11293.5616,60.1527,-2.7057,28.5624,0
10878.8059,11293.1253,60.1530,-2.7063,28.4514,0
10877.8768,11292.6898,60.1572,-2.7068,28.3737,0
10876.9494,11292.2569,60.1485,-2.7065,28.3029,0
10876.0246,11291.8255,60.1352,-2.7065,28.2271,0
10875.1017,11291.3952,60.1261,-2.7065,28.1856,0
10874.1809,11290.9649,60.1158,-2.7064,28.1298,0
10873.2626,11290.5348,60.1019,-2.7061,28.0565,0
10872.3462,11290.1064,60.0791,-2.7054,27.9862,0
10871.4321,11289.6786,60.0578,-2.7050,27.9318,0
10870.5209,11289.2506,60.0482,-2.7048,27.8378,0
10869.6122,11288.8228,60.0482,-2.7046,27.8089,0
10868.7054,11288.3962,60.0411,-2.7046,27.7421,0
10867.8000,11287.9704,60.0198,-2.7047,27.7160,0
10866.8258,11287.5136,59.9936,-2.7048,27.6417,0
10865.8535,11287.0572,59.9785,-2.7050,27.6082,0
10864.8831,11286.6000,59.9607,-2.7049,27.5688,0
10863.9136,11286.1451,59.9345,-2.7046,27.5370,0
10862.9469,11285.6896,59.9149,-2.7049,27.4542,0
10861.9822,11285.2344,59.8979,-2.7049,27.4212,0
10861.0194,11284.7811,59.8811,-2.7047,27.3762,0
10860.0584,11284.3295,59.8661,-2.7046,27.2650,0
10859.1002,11283.8781,59.8552,-2.7048,27.2156,0
10858.1437,11283.4270,59.8431,-2.7046,27.1820,0
10857.1888,11282.9768,59.8254,-2.7046,27.1247,0
10856.2362,11282.5283,59.8117,-2.7045,27.0482,0
10855.2855,11282.0797,59.7973,-2.7045,27.0386,0
10854.3358,11281.6322,59.7857,-2.7045,27.0168,0
10853.3872,11281.1864,59.7843,-2.7045,26.9329,0
10852.4413,11280.7400,59.7785,-2.7048,26.9071,0
