wp_id,x,y,z,yaw,velocity,change_flag
99,10899.9551,11306.1285,60.4029,-2.6776,39.4190,0
100,10898.9666,11305.6568,60.3917,-2.6773,39.4341,0
101,10897.9775,11305.1842,60.3738,-2.6775,39.4468,0
102,10896.9887,11304.7104,60.3665,-2.6777,39.4505,0
103,10895.9989,11304.2371,60.3687,-2.6774,39.4695,0
104,10895.0084,11303.7643,60.3698,-2.6764,39.5194,0
105,10894.0184,11303.2906,60.3658,-2.6758,39.4855,0
106,10893.0299,11302.8139,60.3580,-2.6762,39.5270,0
107,10892.0404,11302.3383,60.3449,-2.6766,39.5413,0
108,10891.0507,11301.8627,60.3350,-2.6766,39.5272,0
109,10890.0601,11301.3874,60.3280,-2.6762,39.5733,0
110,10889.0695,11300.9118,60.3176,-2.6762,39.5472,0
111,10888.0787,11300.4353,60.3042,-2.6772,39.5391,0
112,10887.0874,11299.9599,60.2912,-2.6773,39.5555,0
113,10886.0951,11299.4868,60.2808,-2.6773,39.5631,0
114,10885.1026,11299.0137,60.2692,-2.6776,39.5584,0
115,10884.1107,11298.5404,60.2647,-2.6768,39.5656,0
116,10883.1185,11298.0670,60.2630,-2.6759,39.5400,0
117,10882.1274,11297.5911,60.2567,-2.6760,39.5698,0
118,10881.1375,11297.1130,60.2443,-2.6772,39.5678,0
119,10880.1467,11296.6362,60.2270,-2.6777,39.5626,0
120,10879.1547,11296.1611,60.2083,-2.6783,39.5963,0
121,10878.1622,11295.6869,60.1950,-2.6785,39.5599,0
122,10877.1687,11295.2153,60.1934,-2.6782,39.5492,0
123,10876.1753,11294.7438,60.1944,-2.6777,39.5631,0
124,10875.1823,11294.2713,60.1853,-2.6776,39.5569,0
125,10874.1906,11293.7967,60.1726,-2.6781,39.5568,0
126,10873.1989,11293.3222,60.1567,-2.6776,39.5491,0
127,10872.2074,11292.8464,60.1373,-2.6768,39.5446,0
128,10871.2162,11292.3712,60.1177,-2.6760,39.5135,0
129,10870.2272,11291.8921,60.1002,-2.6763,39.5483,0
130,10869.2378,11291.4135,60.0837,-2.6766,39.5721,0
131,10868.2495,11290.9351,60.0767,-2.6775,39.5103,0
132,10867.2602,11290.4591,60.0693,-2.6779,39.5257,0
133,10866.2701,11289.9855,60.0532,-2.6774,39.4895,0
134,10865.2812,11289.5135,60.0307,-2.6772,39.3912,0
135,10864.2949,11289.0404,60.0066,-2.6771,39.3536,0
136,10863.3093,11288.5684,59.9778,-2.6768,39.3125,0
137,10862.3266,11288.0953,59.9554,-2.6767,39.2201,0
138,10861.3445,11287.6242,59.9428,-2.6763,39.1779,0
139,10860.3649,11287.1529,59.9298,-2.6759,39.0519,0
140,10859.3866,11286.6818,59.9137,-2.6753,39.0714,0
141,10858.4106,11286.2110,59.8959,-2.6757,38.9483,0
142,10857.4361,11285.7416,59.8799,-2.6763,38.9086,0
143,10856.4631,11285.2739,59.8591,-2.6762,38.8183,0
144,10855.4913,11284.8081,59.8399,-2.6758,38.7427,0
145,10854.5228,11284.3426,59.8279,-2.6749,38.5462,0
146,10853.5565,11283.8765,59.8197,-2.6751,38.5443,0
147,10852.5935,11283.4093,59.8142,-2.6759,38.4380,0
148,10851.6324,11282.9442,59.8104,-2.6767,38.4044,0
149,10850.6723,11282.4816,59.7975,-2.6763,38.3182,0
150,10849.7141,11282.0196,59.7765,-2.6763,38.2461,0
151,10848.7574,11281.5597,59.7620,-2.6763,38.1528,0
152,10847.8029,11281.1011,59.7534,-2.6761,38.0435,0
153,10846.8507,11280.6431,59.7430,-2.6761,37.9875,0
154,10845.9016,11280.1852,59.7275,-2.6760,37.8434,0
155,10844.9554,11279.7279,59.7165,-2.6764,37.7397,0
156,10844.0124,11279.2713,59.7143,-2.6769,37.6367,0
157,10843.0722,11278.8156,59.7160,-2.6775,37.5659,0
158,10842.1328,11278.3636,59.7171,-2.6778,37.4507,0
159,10841.1959,11277.9127,59.7139,-2.6783,37.3504,0
160,10840.2610,11277.4640,59.7022,-2.6789,37.2955,0
161,10839.3279,11277.0171,59.6801,-2.6796,37.1890,0
162,10838.3977,11276.5731,59.6643,-2.6803,37.0035,0
163,10837.4709,11276.1322,59.6540,-2.6813,36.8416,0
164,10836.5495,11275.6951,59.6509,-2.6820,36.5974,0
165,10835.6322,11275.2620,59.6479,-2.6820,36.4215,0
166,10834.7198,11274.8324,59.6438,-2.6819,36.1764,0
167,10833.8136,11274.4034,59.6401,-2.6820,35.9847,0
168,10832.7337,11273.8928,59.6255,-2.6822,35.6776,0
169,10831.6639,11273.3852,59.5956,-2.6826,35.3817,0
170,10830.6040,11272.8816,59.5732,-2.6828,35.0421,0
171,10829.5533,11272.3833,59.5746,-2.6831,34.7271,0
172,10828.5115,11271.8909,59.5863,-2.6838,34.4259,0
173,10827.4778,11271.4042,59.5806,-2.6846,34.1623,0
174,10826.4523,11270.9237,59.5571,-2.6848,33.8304,0
175,10825.4352,11270.4489,59.5327,-2.6847,33.5103,0
176,10824.4281,11269.9785,59.5198,-2.6849,33.1688,0
177,10823.4315,11269.5128,59.5144,-2.6850,32.8420,0
178,10822.4479,11269.0504,59.5005,-2.6851,32.4388,0
179,10821.4750,11268.5954,59.4788,-2.6847,32.0740,0
180,10820.5149,11268.1450,59.4646,-2.6847,31.6410,0
181,10819.5673,11267.7018,59.4647,-2.6842,31.1945,0
182,10818.6322,11267.2637,59.4635,-2.6844,30.8190,0
183,10817.7104,11266.8317,59.4525,-2.6849,30.3527,0
184,10816.8016,11266.4054,59.4419,-2.6853,29.8989,0
185,10815.7557,11265.9194,59.4290,-2.6852,29.4199,0
186,10814.7295,11265.4386,59.4246,-2.6858,28.9590,0
187,10813.7211,11264.9673,59.4137,-2.6867,28.3858,0
188,10812.7299,11264.5081,59.3934,-2.6850,27.9287,0
189,10811.7575,11264.0558,59.3694,-2.6843,27.3647,0
190,10810.8026,11263.6052,59.3586,-2.6855,26.9863,0
191,10809.8624,11263.1614,59.3579,-2.6864,26.5791,0
192,10808.9318,11262.7309,59.3546,-2.6862,26.2383,0
193,10808.0168,11262.3027,59.3416,-2.6863,25.8701,0
194,10806.9888,11261.8207,59.3306,-2.6859,25.3997,0
195,10805.9788,11261.3487,59.3187,-2.6857,24.9184,0
196,10804.9866,11260.8844,59.3029,-2.6855,24.5289,0
197,10804.0106,11260.4276,59.2910,-2.6845,24.0813,0
198,10803.0478,11259.9799,59.2910,-2.6831,23.7392,0
199,10802.1028,11259.5324,59.2893,-2.6831,23.3869,0
200,10801.1784,11259.0922,59.2730,-2.6829,22.8067,0
201,10800.2741,11258.6626,59.2593,-2.6825,22.3172,0
202,10799.2803,11258.1932,59.2382,-2.6813,21.7191,0
203,10798.3134,11257.7364,59.2340,-2.6808,21.1283,0
204,10797.3745,11257.2902,59.2266,-2.6800,20.5022,0
205,10796.4659,11256.8549,59.2141,-2.6775,19.8815,0
206,10795.4899,11256.3879,59.2036,-2.6731,19.1499,0
207,10794.5562,11255.9322,59.1963,-2.6677,18.3566,0
208,10793.5786,11255.4448,59.1818,-2.6570,17.5232,0
209,10792.6486,11254.9761,59.1689,-2.6379,16.6504,0
210,10791.7012,11254.4624,59.1757,-2.6080,15.7672,0
211,10790.8125,11253.9420,59.1549,-2.5672,15.1588,0
212,10789.9043,11253.3570,59.1396,-2.5171,14.7376,0
213,10789.0469,11252.7380,59.1309,-2.4586,14.5627,0
214,10788.2420,11252.0717,59.1095,-2.3898,14.2716,0
215,10787.5003,11251.3615,59.1040,-2.3158,14.0035,0
216,10786.8188,11250.6081,59.0769,-2.2380,13.8654,0
217,10786.2152,11249.8019,59.0638,-2.1559,13.8709,0
218,10785.6666,11248.9351,59.0507,-2.0635,14.2225,0
219,10785.1982,11248.0091,59.0389,-1.9717,14.2450,0
220,10784.8139,11247.0388,59.0277,-1.8765,14.3009,0
221,10784.5213,11246.0278,59.0094,-1.7815,14.4697,0
222,10784.3200,11244.9831,59.0047,-1.6883,14.6226,0
223,10784.2178,11243.9137,58.9760,-1.6021,14.7766,0
224,10784.2093,11242.9110,58.9594,-1.5237,14.9438,0
225,10784.2743,11241.8959,58.9336,-1.4484,15.1319,0
226,10784.4100,11240.8805,58.9194,-1.3742,15.2181,0
227,10784.6323,11239.8709,58.8949,-1.3089,15.4056,0
228,10784.9166,11238.8641,58.8897,-1.2502,15.5717,0
229,10785.2581,11237.8710,58.8953,-1.2029,15.6406,0
230,10785.6466,11236.8827,58.8547,-1.1641,15.8490,0
231,10786.0751,11235.8926,58.8323,-1.1309,16.1371,0
232,10786.5030,11234.9874,58.8186,-1.1083,16.3410,0
233,10786.9518,11234.0852,58.7885,-1.0896,16.4059,0
234,10787.4166,11233.1828,58.7595,-1.0737,16.5542,0
235,10787.8953,11232.2782,58.7186,-1.0587,16.7159,0
236,10788.3899,11231.3765,58.6884,-1.0460,16.7211,0
237,10788.8997,11230.4740,58.6650,-1.0364,16.9347,0
238,10789.4215,11229.5731,58.6309,-1.0295,16.9695,0
239,10789.9425,11228.6681,58.6155,-1.0222,17.0449,0
240,10790.4749,11227.7631,58.5709,-1.0179,17.1512,0
241,10791.0160,11226.8530,58.5438,-1.0151,17.3344,0
242,10791.5619,11225.9342,58.5319,-1.0132,17.4876,0
243,10792.1192,11225.0110,58.5274,-1.0139,17.6756,0
244,10792.6733,11224.0721,58.5064,-1.0135,17.8738,0
245,10793.2394,11223.1286,58.4999,-1.0144,18.0642,0
246,10793.7535,11222.2556,58.4901,-1.0152,18.1822,0
247,10794.2779,11221.3774,58.4994,-1.0167,18.4978,0
