wp_id,x,y,z,yaw,velocity,change_flag
99,10897.4320,11304.3740,60.3415,-2.6968,48.7702,0
100,10896.4545,11303.9027,60.3390,-2.6968,48.9123,0
101,10895.4746,11303.4302,60.3395,-2.6968,49.0065,0
102,10894.4924,11302.9564,60.3388,-2.6968,49.1436,0
103,10893.5081,11302.4813,60.3353,-2.6971,49.2589,0
104,10892.5212,11302.0052,60.3266,-2.6973,49.3878,0
105,10891.5315,11301.5283,60.3153,-2.6974,49.4933,0
106,10890.5398,11301.0500,60.3054,-2.6977,49.6077,0
107,10889.5451,11300.5711,60.2945,-2.6979,49.7544,0
108,10888.5478,11300.0912,60.2824,-2.6983,49.8728,0
109,10887.5478,11299.6110,60.2732,-2.6984,49.9739,0
110,10886.5452,11299.1303,60.2650,-2.6984,50.1010,0
111,10885.5401,11298.6484,60.2553,-2.6985,50.1875,0
112,10884.5336,11298.1653,60.2470,-2.6988,50.2752,0
113,10883.5261,11297.6813,60.2415,-2.6991,50.3413,0
114,10882.5183,11297.1969,60.2328,-2.6997,50.2862,0
115,10881.5106,11296.7136,60.2238,-2.7001,50.2751,0
116,10880.5031,11296.2321,60.2121,-2.7002,50.2315,0
117,10879.4960,11295.7524,60.1946,-2.6998,50.1658,0
118,10878.4903,11295.2739,60.1776,-2.6995,50.0608,0
119,10877.4866,11294.7961,60.1715,-2.6994,49.9748,0
120,10876.4847,11294.3181,60.1712,-2.6998,49.9372,0
121,10875.4845,11293.8403,60.1686,-2.7004,49.8407,0
122,10874.4857,11293.3635,60.1628,-2.7010,49.7353,0
123,10873.4883,11292.8878,60.1502,-2.7013,49.6916,0
124,10872.4924,11292.4132,60.1307,-2.7015,49.5992,0
125,10871.4978,11291.9398,60.1053,-2.7017,49.5280,0
126,10870.5043,11291.4680,60.0807,-2.7016,49.4587,0
127,10869.5121,11290.9975,60.0623,-2.7017,49.3861,0
128,10868.5216,11290.5275,60.0526,-2.7018,49.3043,0
129,10867.5327,11290.0580,60.0467,-2.7021,49.2224,0
130,10866.5448,11289.5884,60.0367,-2.7026,49.2002,0
131,10865.5580,11289.1197,60.0199,-2.7029,49.1279,0
132,10864.5724,11288.6519,59.9978,-2.7031,49.0586,0
133,10863.5877,11288.1853,59.9675,-2.7032,48.9838,0
134,10862.6050,11287.7198,59.9378,-2.7033,48.8556,0
135,10861.6246,11287.2559,59.9163,-2.7034,48.7222,0
136,10860.6474,11286.7938,59.9024,-2.7034,48.5509,0
137,10859.6743,11286.3334,59.8932,-2.7033,48.3021,0
138,10858.7055,11285.8753,59.8854,-2.7034,48.1015,0
139,10857.7416,11285.4195,59.8772,-2.7035,47.8568,0
140,10856.7824,11284.9657,59.8605,-2.7034,47.6126,0
141,10855.8283,11284.5142,59.8416,-2.7034,47.3713,0
142,10854.8791,11284.0652,59.8240,-2.7034,47.1321,0
143,10853.9348,11283.6182,59.8098,-2.7033,46.8973,0
144,10852.9954,11283.1735,59.8026,-2.7033,46.6471,0
145,10852.0613,11282.7306,59.8018,-2.7034,46.3611,0
146,10851.1322,11282.2899,59.7975,-2.7035,46.1268,0
147,10850.2077,11281.8515,59.7840,-2.7036,45.9250,0
148,10849.2874,11281.4162,59.7686,-2.7035,45.7129,0
149,10848.3718,11280.9834,59.7584,-2.7034,45.4598,0
150,10847.4606,11280.5528,59.7481,-2.7032,45.2307,0
151,10846.5540,11280.1242,59.7350,-2.7031,44.9818,0
152,10845.4276,11279.5913,59.7192,-2.7032,44.7054,0
153,10844.3090,11279.0608,59.7093,-2.7035,44.4146,0
