wp_id,x,y,z,yaw,velocity,change_flag
99,9852.3910,13073.3278,51.1521,-2.8539,39.4538,0
100,9851.3400,13073.0116,51.1491,-2.8540,39.5520,0
101,9850.2863,13072.6948,51.1479,-2.8539,39.6417,0
102,9849.2302,13072.3777,51.1481,-2.8538,39.7468,0
103,9848.1716,13072.0594,51.1466,-2.8538,39.8385,0
104,9847.1105,13071.7403,51.1410,-2.8538,39.9382,0
105,9846.0470,13071.4202,51.1343,-2.8539,40.0220,0
106,9844.9812,13071.0995,51.1297,-2.8539,40.1136,0
107,9843.9131,13070.7780,51.1277,-2.8539,40.1991,0
108,9842.8427,13070.4559,51.1270,-2.8538,40.2704,0
109,9841.7702,13070.1329,51.1264,-2.8538,40.3668,0
110,9840.6953,13069.8094,51.1252,-2.8538,40.4451,0
111,9839.6180,13069.4851,51.1233,-2.8538,40.5354,0
112,9838.5382,13069.1606,51.1209,-2.8537,40.6304,0
113,9837.4560,13068.8352,51.1185,-2.8537,40.7164,0
114,9836.3715,13068.5091,51.1160,-2.8536,40.8115,0
115,9835.2846,13068.1821,51.1132,-2.8537,40.8942,0
116,9834.1956,13067.8545,51.1104,-2.8538,40.9634,0
117,9833.1050,13067.5266,51.1082,-2.8538,41.0086,0
118,9832.0140,13067.1988,51.1065,-2.8537,41.0002,0
119,9830.9238,13066.8711,51.1056,-2.8536,40.9476,0
120,9829.8352,13066.5436,51.1049,-2.8535,40.8892,0
121,9828.7487,13066.2162,51.1041,-2.8534,40.7909,0
122,9827.6647,13065.8894,51.1033,-2.8533,40.7189,0
123,9826.5831,13065.5631,51.1029,-2.8532,40.6213,0
124,9825.5041,13065.2377,51.1029,-2.8530,40.5222,0
125,9824.4280,13064.9127,51.1033,-2.8530,40.4170,0
126,9823.3547,13064.5886,51.1029,-2.8529,40.3051,0
127,9822.2842,13064.2650,51.1023,-2.8528,40.2086,0
128,9821.2165,13063.9421,51.1024,-2.8527,40.0966,0
129,9820.1516,13063.6199,51.1027,-2.8526,39.9929,0
130,9819.0895,13063.2985,51.1023,-2.8526,39.8961,0
