x,y,z,yaw,velocity,change_flag
8170.5496,10198.9715,58.8714,-1.4843,12.9443,0
8170.6460,10197.9553,58.8697,-1.5878,13.2384,0
8170.6274,10196.9061,58.8649,-1.6874,13.6481,0
8170.5207,10195.8778,58.8476,-1.7785,13.6585,0
8170.3178,10194.8726,58.8971,-1.8613,13.5880,0
8170.0345,10193.8964,58.9028,-1.9367,13.3967,0
8169.6683,10192.9216,58.9167,-2.0053,13.2685,0
8169.2519,10191.9758,58.9317,-2.0675,13.1029,0
8168.7774,10191.0869,58.9765,-2.1243,12.7384,0
8168.2605,10190.2145,59.0176,-2.1792,12.4422,0
8167.6852,10189.3638,59.0396,-2.2380,12.1536,0
8167.0728,10188.5672,59.0747,-2.3061,11.9139,0
8166.3964,10187.8138,59.0893,-2.3958,11.7085,0
8165.6344,10187.1206,59.1185,-2.5116,11.5198,0
8164.8057,10186.5283,59.1428,-2.6447,11.4448,0
8163.9061,10186.0600,59.1709,-2.7902,11.4019,0
8162.9494,10185.7405,59.1927,-2.9478,11.3195,0
8161.9523,10185.5600,59.2062,-3.1161,11.4380,0
8160.9380,10185.5642,59.2229,2.9993,11.3851,0
8159.9297,10185.7418,59.2307,2.8245,11.5972,0
8158.9840,10186.0765,59.2459,2.6540,11.5981,0
8158.1013,10186.5796,59.2544,2.4798,11.8820,0
8157.3179,10187.2174,59.2542,2.3129,12.1729,0
8156.6513,10187.9665,59.2588,2.1527,12.5056,0
8156.0817,10188.8688,59.2348,1.9897,12.8997,0
8155.6587,10189.8498,59.2280,1.8385,13.3744,0
8155.3926,10190.8359,59.2135,1.7052,13.5704,0
8155.2579,10191.8316,59.1956,1.5787,13.9689,0
8155.2438,10192.8618,59.1648,1.4595,14.3071,0
8155.3599,10193.9088,59.1481,1.3495,14.6379,0
8155.5794,10194.9208,59.1179,1.2537,14.8798,0
8155.8780,10195.8799,59.0912,1.1737,14.9434,0
8156.2530,10196.8147,59.0565,1.1111,15.0326,0
8156.6865,10197.7287,59.0231,1.0678,15.0786,0
8157.1511,10198.6278,59.0171,1.0364,15.0367,0
8157.6434,10199.5068,59.0050,1.0085,14.9554,0
8158.1787,10200.3985,58.9787,0.9784,14.8434,0
8158.7324,10201.2680,58.9663,0.9481,14.7957,0
8159.3145,10202.1133,58.9614,0.9195,14.7188,0
8159.9195,10202.9402,58.9536,0.8952,14.7193,0
8160.5387,10203.7531,58.9346,0.8748,14.7134,0
8161.1783,10204.5480,58.9121,0.8616,14.7581,0
8161.8479,10205.3769,58.8829,0.8506,14.8276,0
8162.5094,10206.1679,58.8595,0.8418,14.9618,0
8163.1844,10206.9581,58.8230,0.8349,15.1254,0
8163.8336,10207.7247,58.7907,0.8285,15.2151,0
8164.4990,10208.4823,58.7409,0.8242,15.2922,0
8165.1602,10209.2554,58.6837,0.8209,15.4405,0
8165.8398,10210.0238,58.6467,0.8232,15.5757,0
8166.5234,10210.7948,58.6364,0.8272,15.6740,0
8167.1822,10211.5991,58.5842,0.8304,15.8253,0
8167.8458,10212.3573,58.5377,0.8429,15.9427,0
8168.5181,10213.1641,58.4814,0.8532,15.8739,0
8169.1457,10213.9485,58.4282,0.8683,15.9011,0
8169.7652,10214.7356,58.4009,0.8942,15.7395,0
8170.3790,10215.5675,58.4289,0.9410,15.5724,0
8170.9391,10216.4241,58.4081,1.0039,15.3992,0
8171.4351,10217.3030,58.4019,1.0790,15.2286,0
8171.8733,10218.2449,58.3859,1.1692,15.0239,0
8172.2136,10219.2098,58.3684,1.2742,14.7618,0
8172.4414,10220.1914,58.3662,1.3860,14.5299,0
8172.5509,10221.2192,58.3500,1.5039,14.3771,0
8172.5437,10222.2430,58.3312,1.6180,14.1835,0
8172.4162,10223.2385,58.3252,1.7273,13.8125,0
8172.1676,10224.2360,58.2972,1.8341,13.7328,0
8171.8396,10225.2005,58.3110,1.9289,13.4539,0
8171.4027,10226.1076,58.3177,2.0116,13.4152,0
8170.9159,10226.9943,58.3126,2.0716,13.4250,0
8170.3708,10227.8369,58.3137,2.1117,13.3720,0
8169.8093,10228.6666,58.2746,2.1365,13.2303,0
8169.2075,10229.5082,58.2735,2.1507,13.2252,0
8168.5937,10230.3410,58.2864,2.1617,13.1946,0
8167.9829,10231.1665,58.3471,2.1676,13.0965,0
8167.3564,10231.9879,58.3367,2.1727,13.1736,0
8166.7343,10232.8166,58.3461,2.1788,13.2161,0
8166.1203,10233.6120,58.3581,2.1826,13.3654,0
8165.5058,10234.4195,58.3541,2.1879,13.3228,0
8164.8909,10235.2199,58.3715,2.1943,13.2829,0
8164.2656,10236.0114,58.3606,2.1993,13.2658,0
8163.6250,10236.8294,58.3800,2.2063,13.1356,0
8162.9521,10237.6604,58.4044,2.2133,13.1299,0
8162.3107,10238.4622,58.4140,2.2211,13.0204,0
8161.6539,10239.2458,58.4364,2.2273,13.0478,0
8161.0039,10240.0323,58.4283,2.2348,12.9643,0
8160.3492,10240.7993,58.4593,2.2415,12.8187,0
8159.6786,10241.5850,58.4434,2.2498,12.6701,0
8158.9859,10242.3783,58.4633,2.2588,12.5291,0
8158.2942,10243.1564,58.4540,2.2686,12.3986,0
8157.6014,10243.9221,58.4683,2.2788,12.4013,0
8156.9183,10244.6549,58.4638,2.2896,12.4419,0
8156.2303,10245.3860,58.4684,2.3022,12.4623,0
8155.5292,10246.1015,58.4680,2.3182,12.4294,0
8154.8001,10246.8294,58.4673,2.3379,12.3319,0
8154.0566,10247.5363,58.4833,2.3598,12.3492,0
8153.3016,10248.2237,58.4925,2.3819,12.3046,0
8152.5275,10248.8963,58.4917,2.4046,12.4123,0
8151.7370,10249.5520,58.4878,2.4302,12.3668,0
8150.9277,10250.1863,58.5059,2.4613,12.4674,0
8150.0933,10250.7955,58.5029,2.4992,12.4659,0
8149.2578,10251.3546,58.5239,2.5450,12.6294,0
8148.3869,10251.8801,58.5125,2.5972,12.7841,0
8147.4446,10252.3775,58.5348,2.6620,12.9623,0
8146.5261,10252.7856,58.5374,2.7354,13.0091,0
8145.5741,10253.1243,58.5504,2.8207,13.1181,0
8144.5903,10253.3746,58.5503,2.9237,12.1349,0
8143.5872,10253.5109,58.5682,3.0486,11.0364,0
8142.5763,10253.5111,58.5742,-3.0955,10.0966,0
8141.5737,10253.3748,58.5818,-2.9538,10.0607,0
8140.6100,10253.0949,58.5958,-2.8146,10.0865,0
8139.6733,10252.6732,58.6050,-2.6724,9.0498,0
8138.8277,10252.1363,58.6192,-2.5414,8.0787,0
8138.0281,10251.4695,58.6261,-2.4231,7.0113,0
8137.3281,10250.7429,58.6523,-2.3350,6.0035,0
8136.6944,10249.9655,58.6830,-2.2785,5.0423,0
8136.0833,10249.1499,58.7076,-2.2442,4.0110,0
8135.5069,10248.3320,58.7294,-2.2266,3.0506,0
8134.9349,10247.4985,58.7547,-2.2176,2.0610,0
8134.3502,10246.6411,58.7873,-2.2131,1.0605,0
8133.7808,10245.7986,58.8103,-2.2102,0.5,0
8133.2115,10244.9680,58.8190,-2.2065,0.0,0
