VID,PID,Hang,Vang
1,30970,270.0,0.0
2,30971,270.0,90.0
3,30972,270.0,90.0
4,30973,270.0,90.0
5,30974,330.0,0.0
6,30975,330.0,90.0
7,30976,330.0,90.0
8,30977,330.0,90.0
9,30978,330.0,0.0
10,30979,330.0,90.0
11,30980,330.0,90.0
12,30981,330.0,90.0
13,30982,330.0,0.0
14,30983,330.0,90.0
15,30984,330.0,90.0
16,30985,330.0,90.0
17,30986,330.0,0.0
18,30987,330.0,90.0
19,30988,330.0,90.0
20,30989,330.0,90.0
21,30990,330.0,0.0
22,30991,330.0,90.0
23,30992,330.0,90.0
24,30993,330.0,90.0
25,30994,330.0,0.0
26,30995,330.0,90.0
27,30996,330.0,90.0
28,30997,330.0,90.0
29,30998,330.0,0.0
30,30999,330.0,90.0
31,31000,330.0,90.0
32,31001,330.0,90.0
33,31002,330.0,0.0
34,31003,330.0,90.0
35,31004,330.0,90.0
36,31005,330.0,90.0
37,31006,330.0,0.0
38,31007,330.0,90.0
39,31008,330.0,90.0
40,31009,330.0,90.0
41,31010,80.0,0.0
42,31011,80.0,90.0
43,31012,80.0,90.0
44,31013,80.0,90.0
45,31014,130.0,0.0
46,31015,130.0,90.0
47,31016,130.0,90.0
48,31017,130.0,90.0
49,31018,130.0,0.0
50,31019,130.0,90.0
51,31020,130.0,90.0
52,31021,130.0,90.0
53,31022,145.0,0.0
54,31023,145.0,90.0
55,31024,145.0,90.0
56,31025,145.0,90.0
57,31026,135.0,0.0
58,31027,135.0,90.0
59,31028,135.0,90.0
60,31029,135.0,90.0
61,31030,175.0,0.0
62,31031,175.0,90.0
63,31032,175.0,90.0
64,31033,175.0,90.0
65,31034,195.0,0.0
66,31035,195.0,90.0
67,31036,195.0,90.0
68,31037,195.0,90.0
69,31038,45.0,0.0
70,31039,45.0,90.0
71,31040,45.0,90.0
72,31041,45.0,90.0
73,31042,150.0,0.0
74,31043,150.0,90.0
75,31044,150.0,90.0
76,31045,150.0,90.0
77,31046,150.0,0.0
78,31047,150.0,90.0
79,31048,150.0,90.0
80,31049,150.0,90.0
81,31050,145.0,0.0
82,31051,145.0,90.0
83,31052,145.0,90.0
84,31053,145.0,90.0
85,31054,145.0,0.0
86,31055,145.0,90.0
87,31056,145.0,90.0
88,31057,145.0,90.0
89,31058,140.0,0.0
90,31059,140.0,90.0
91,31060,140.0,90.0
92,31061,140.0,90.0
93,31062,145.0,0.0
94,31063,145.0,90.0
95,31064,145.0,90.0
96,31065,145.0,90.0
97,31066,45.0,0.0
98,31067,45.0,90.0
99,31068,45.0,90.0
100,31069,45.0,90.0
101,31070,45.0,0.0
102,31071,45.0,90.0
103,31072,45.0,90.0
104,31073,45.0,90.0
105,31074,45.0,0.0
106,31075,45.0,90.0
107,31076,45.0,90.0
108,31077,45.0,90.0
109,31078,137.0,0.0
110,31079,137.0,90.0
111,31080,137.0,90.0
112,31081,137.0,90.0
