ID,LID,Width,Color,type,LinkID
213,6193,10.0,W,0,0
214,6194,10.0,W,0,0
215,6195,10.0,W,0,0
216,6196,10.0,W,0,0
217,6197,10.0,W,0,0
218,6198,10.0,W,0,0
219,6199,10.0,W,0,0
220,6200,10.0,W,0,0
221,6201,10.0,W,1,0
222,6202,10.0,W,1,0
223,6203,10.0,W,1,0
224,6204,10.0,W,1,0
225,6205,10.0,W,0,0
226,6206,10.0,W,0,0
227,6207,10.0,W,0,0
228,6208,10.0,W,0,0
229,6209,10.0,W,0,0
230,6210,10.0,W,0,0
231,6211,10.0,W,0,0
232,6212,10.0,W,0,0
233,6213,10.0,W,0,0
234,6214,10.0,W,1,0
235,6215,10.0,W,1,0
236,6216,10.0,W,1,0
237,6217,10.0,W,1,0
238,6218,10.0,W,1,0
239,6219,10.0,W,1,0
240,6220,10.0,W,1,0
241,6221,10.0,W,1,0
242,6222,10.0,W,1,0
243,6223,10.0,W,1,0
244,6224,10.0,W,1,0
245,6225,10.0,W,1,0
246,6226,10.0,W,1,0
247,6227,10.0,W,1,0
248,6228,10.0,W,1,0
249,6229,10.0,W,1,0
250,6230,10.0,W,1,0
251,6231,10.0,W,1,0
252,6232,10.0,W,1,0
253,6233,10.0,W,1,0
254,6234,10.0,W,1,0
255,6235,10.0,W,1,0
256,6236,10.0,W,1,0
257,6237,10.0,W,1,0
258,6238,10.0,W,1,0
259,6239,10.0,W,1,0
260,6240,10.0,W,1,0
261,6241,10.0,W,1,0
262,6242,10.0,W,0,0
263,6243,10.0,W,0,0
264,6244,10.0,W,0,0
265,6245,10.0,W,0,0
266,6246,10.0,W,0,0
267,6247,10.0,W,0,0
268,6248,10.0,W,0,0
269,6249,10.0,W,0,0
270,6250,10.0,W,0,0
271,6251,10.0,W,0,0
272,6252,10.0,W,0,0
273,6253,10.0,W,0,0
274,6254,10.0,W,0,0
275,6255,10.0,W,0,0
276,6256,10.0,W,0,0
277,6257,10.0,W,0,0
278,6258,10.0,W,0,0
279,6259,10.0,W,0,0
280,6260,10.0,W,1,0
281,6261,10.0,W,1,0
282,6262,10.0,W,1,0
283,6263,10.0,W,1,0
284,6264,10.0,W,0,0
285,6265,10.0,W,0,0
286,6266,10.0,W,0,0
287,6267,10.0,W,0,0
288,6268,10.0,W,0,0
289,6269,10.0,W,0,0
290,6270,10.0,W,0,0
291,6271,10.0,W,0,0
292,6272,10.0,W,0,0
293,6273,10.0,W,1,0
294,6274,10.0,W,1,0
295,6275,10.0,W,1,0
296,6276,10.0,W,1,0
297,6277,10.0,W,1,0
298,6278,10.0,W,1,0
299,6279,10.0,W,1,0
300,6280,10.0,W,1,0
301,6281,10.0,W,1,0
302,6282,10.0,W,0,0
303,6283,10.0,W,0,0
304,6284,10.0,W,1,0
305,6285,10.0,W,1,0
306,6286,10.0,W,0,0
307,6287,10.0,W,0,0
308,6288,10.0,W,1,0
309,6289,10.0,W,1,0
310,6290,10.0,W,1,0
311,6291,10.0,W,0,0
312,6292,10.0,W,0,0
313,6293,10.0,W,0,0
314,6294,10.0,W,0,0
315,6295,10.0,W,0,0
316,6296,10.0,W,0,0
317,6297,10.0,W,0,0
318,6298,10.0,W,0,0
319,6299,10.0,W,0,0
320,6300,10.0,W,0,0
321,6301,10.0,W,1,0
322,6302,10.0,W,1,0
323,6303,10.0,W,1,0
324,6304,10.0,W,1,0
325,6305,10.0,W,1,0
326,6306,10.0,W,1,0
327,6307,10.0,W,1,0
328,6308,10.0,W,1,0
329,6309,10.0,W,1,0
330,6310,10.0,W,1,0
331,6311,10.0,W,1,0
332,6312,10.0,W,0,0
333,6313,10.0,W,0,0
334,6314,10.0,W,0,0
335,6315,10.0,W,0,0
336,6316,10.0,W,0,0
337,6317,10.0,W,0,0
338,6318,10.0,W,0,0
339,6319,10.0,W,0,0
340,6320,10.0,W,0,0
341,6321,10.0,W,0,0
342,6322,10.0,W,0,0
343,6323,10.0,W,0,0
344,6324,10.0,W,0,0
345,6325,10.0,W,0,0
346,6326,10.0,W,0,0
347,6327,10.0,W,0,0
348,6328,10.0,W,0,0
349,6329,10.0,W,0,0
350,6330,10.0,W,0,0
351,6331,10.0,W,0,0
352,6332,10.0,W,0,0
353,6333,10.0,W,0,0
354,6334,10.0,W,0,0
355,6335,10.0,W,0,0
356,6336,10.0,W,0,0
357,6337,10.0,W,0,0
358,6338,10.0,W,0,0
359,6339,10.0,W,0,0
360,6340,10.0,W,0,0
361,6341,10.0,W,0,0
362,6342,10.0,W,0,0
363,6343,10.0,W,0,0
364,6344,10.0,W,0,0
365,6345,10.0,W,0,0
366,6346,10.0,W,0,0
367,6347,10.0,W,0,0
368,6348,10.0,W,0,0
369,6349,10.0,W,0,0
370,6350,10.0,W,0,0
371,6351,10.0,W,0,0
372,6352,10.0,W,0,0
373,6353,10.0,W,0,0
374,6354,10.0,W,0,0
375,6355,10.0,W,0,0
376,6356,10.0,W,0,0
377,6357,10.0,W,0,0
378,6358,10.0,W,0,0
379,6359,10.0,W,0,0
380,6360,10.0,W,0,0
381,6361,10.0,W,0,0
382,6362,10.0,W,0,0
383,6363,10.0,W,0,0
384,6364,10.0,W,0,0
385,6365,10.0,W,0,0
386,6366,10.0,W,0,0
387,6367,10.0,W,0,0
388,6368,10.0,W,0,0
389,6369,10.0,W,0,0
390,6370,10.0,W,0,0
391,6371,10.0,W,0,0
392,6372,10.0,W,0,0
393,6373,10.0,W,0,0
394,6374,10.0,W,0,0
395,6375,10.0,W,0,0
396,6376,10.0,W,0,0
397,6377,10.0,W,0,0
398,6378,10.0,W,0,0
399,6379,10.0,W,0,0
400,6380,10.0,W,0,0
401,6381,10.0,W,0,0
402,6382,10.0,W,0,0
403,6383,10.0,W,0,0
404,6384,10.0,W,0,0
405,6385,10.0,W,0,0
406,6386,10.0,W,0,0
407,6387,10.0,W,0,0
408,6388,10.0,W,0,0
409,6389,10.0,W,1,0
410,6390,10.0,W,1,0
411,6391,10.0,W,1,0
412,6392,10.0,W,0,0
413,6393,10.0,W,0,0
414,6394,10.0,W,0,0
415,6395,10.0,W,0,0
416,6396,10.0,W,0,0
417,6397,10.0,W,0,0
418,6398,10.0,W,0,0
419,6399,10.0,W,0,0
420,6400,10.0,W,0,0
421,6401,10.0,W,0,0
422,6402,10.0,W,0,0
423,6403,10.0,W,0,0
424,6404,10.0,W,1,0
425,6405,10.0,W,1,0
426,6406,10.0,W,1,0
427,6407,10.0,W,1,0
428,6408,10.0,W,0,0
429,6409,10.0,W,0,0
430,6410,10.0,W,0,0
431,6411,10.0,W,0,0
432,6412,10.0,W,0,0
433,6413,10.0,W,0,0
434,6414,10.0,W,0,0
435,6415,10.0,W,0,0
436,6416,10.0,W,0,0
437,6417,10.0,W,0,0
438,6418,10.0,W,0,0
439,6419,10.0,W,0,0
440,6420,10.0,W,0,0
441,6421,10.0,W,0,0
442,6422,10.0,W,0,0
443,6423,10.0,W,0,0
444,6424,10.0,W,0,0
445,6425,10.0,W,0,0
446,6426,10.0,W,0,0
447,6427,10.0,W,0,0
448,6428,10.0,W,0,0
449,6429,10.0,W,0,0
450,6430,10.0,W,0,0
451,6431,10.0,W,0,0
452,6432,10.0,W,0,0
453,6433,10.0,W,0,0
454,6434,10.0,W,0,0
455,6435,10.0,W,0,0
456,6436,10.0,W,0,0
457,6437,10.0,W,0,0
458,6438,10.0,W,0,0
459,6439,10.0,W,0,0
460,6440,10.0,W,0,0
461,6441,10.0,W,0,0
462,6442,10.0,W,0,0
463,6443,10.0,W,0,0
464,6444,10.0,W,0,0
465,6445,10.0,W,0,0
466,6446,10.0,W,0,0
467,6447,10.0,W,0,0
468,6448,10.0,W,0,0
469,6449,10.0,W,0,0
470,6450,10.0,W,0,0
471,6451,10.0,W,0,0
472,6452,10.0,W,0,0
473,6453,10.0,W,0,0
474,6454,10.0,W,0,0
475,6455,10.0,W,0,0
476,6456,10.0,W,0,0
477,6457,10.0,W,1,0
478,6458,10.0,W,1,0
479,6459,10.0,W,1,0
480,6460,10.0,W,1,0
481,6461,10.0,W,1,0
482,6462,10.0,W,1,0
483,6463,10.0,W,1,0
484,6464,10.0,W,1,0
485,6465,10.0,W,1,0
486,6466,10.0,W,1,0
487,6467,10.0,W,1,0
488,6468,10.0,W,1,0
489,6469,10.0,W,1,0
490,6470,10.0,W,1,0
491,6471,10.0,W,1,0
492,6472,10.0,W,1,0
493,6473,10.0,W,1,0
494,6474,10.0,W,0,0
495,6475,10.0,W,0,0
496,6476,10.0,W,0,0
497,6477,10.0,W,0,0
498,6478,10.0,W,0,0
499,6479,10.0,W,0,0
500,6480,10.0,W,0,0
501,6481,10.0,W,0,0
502,6482,10.0,W,0,0
503,6483,10.0,W,0,0
504,6484,10.0,W,0,0
505,6485,10.0,W,0,0
506,6486,10.0,W,0,0
507,6487,10.0,W,0,0
508,6488,10.0,W,0,0
509,6489,10.0,W,0,0
510,6490,10.0,W,0,0
511,6491,10.0,W,0,0
512,6492,10.0,W,0,0
513,6493,10.0,W,0,0
514,6494,10.0,W,0,0
515,6495,10.0,W,0,0
516,6496,10.0,W,0,0
517,6497,10.0,W,0,0
518,6498,10.0,W,0,0
519,6499,10.0,W,0,0
520,6500,10.0,W,0,0
521,6501,10.0,W,0,0
522,6502,10.0,W,0,0
523,6503,10.0,W,0,0
524,6504,10.0,W,0,0
525,6505,10.0,W,0,0
526,6506,10.0,W,0,0
527,6507,10.0,W,0,0
528,6508,10.0,W,0,0
529,6509,10.0,W,0,0
530,6510,10.0,W,0,0
531,6511,10.0,W,0,0
532,6512,10.0,W,0,0
533,6513,10.0,W,0,0
534,6514,10.0,W,0,0
535,6515,10.0,W,0,0
536,6516,10.0,W,0,0
537,6517,10.0,W,0,0
538,6518,10.0,W,0,0
539,6519,10.0,W,0,0
540,6520,10.0,W,0,0
541,6521,10.0,W,0,0
542,6522,10.0,W,0,0
543,6523,10.0,W,0,0
544,6524,10.0,W,0,0
545,6525,10.0,W,0,0
546,6526,10.0,W,1,0
547,6527,10.0,W,1,0
548,6528,10.0,W,1,0
549,6529,10.0,W,1,0
550,6530,10.0,W,1,0
551,6531,10.0,W,1,0
552,6532,10.0,W,1,0
553,6533,10.0,W,1,0
554,6534,10.0,W,1,0
555,6535,10.0,W,1,0
556,6536,10.0,W,1,0
557,6537,10.0,W,1,0
558,6538,10.0,W,1,0
559,6539,10.0,W,1,0
560,6540,10.0,W,1,0
561,6541,10.0,W,1,0
562,6542,10.0,W,1,0
563,6543,10.0,W,1,0
564,6544,10.0,W,1,0
565,6545,10.0,W,1,0
566,6546,10.0,W,1,0
567,6547,10.0,W,1,0
568,6548,10.0,W,1,0
569,6549,10.0,W,1,0
570,6550,10.0,W,1,0
571,6551,10.0,W,1,0
572,6552,10.0,W,1,0
573,6553,10.0,W,1,0
574,6554,10.0,W,1,0
575,6555,10.0,W,1,0
576,6556,10.0,W,1,0
577,6557,10.0,W,1,0
578,6558,10.0,W,1,0
579,6559,10.0,W,1,0
580,6560,10.0,W,1,0
581,6561,10.0,W,1,0
582,6562,10.0,W,1,0
583,6563,10.0,W,1,0
584,6564,10.0,W,1,0
585,6565,10.0,W,1,0
586,6566,10.0,W,0,0
587,6567,10.0,W,0,0
588,6568,10.0,W,0,0
589,6569,10.0,W,0,0
590,6570,10.0,W,0,0
591,6571,10.0,W,0,0
592,6572,10.0,W,0,0
593,6573,10.0,W,0,0
594,6574,10.0,W,0,0
595,6575,10.0,W,1,0
596,6576,10.0,W,1,0
597,6577,10.0,W,1,0
598,6578,10.0,W,1,0
599,6579,10.0,W,1,0
600,6580,10.0,W,1,0
601,6581,10.0,W,1,0
602,6582,10.0,W,1,0
603,6583,10.0,W,1,0
604,6584,10.0,W,1,0
605,6585,10.0,W,0,0
606,6586,10.0,W,0,0
607,6587,10.0,W,0,0
608,6588,10.0,W,0,0
609,6589,10.0,W,0,0
610,6590,10.0,W,0,0
611,6591,10.0,W,0,0
612,6592,10.0,W,0,0
613,6593,10.0,W,0,0
614,6594,10.0,W,0,0
615,6595,10.0,W,0,0
616,6596,10.0,W,0,0
617,6597,10.0,W,0,0
618,6598,10.0,W,0,0
619,6599,10.0,W,0,0
620,6600,10.0,W,0,0
621,6601,10.0,W,0,0
622,6602,10.0,W,0,0
623,6603,10.0,W,0,0
624,6604,10.0,W,0,0
625,6605,10.0,W,0,0
626,6606,10.0,W,0,0
627,6607,10.0,W,0,0
628,6608,10.0,W,0,0
629,6609,10.0,W,0,0
630,6610,10.0,W,0,0
631,6611,10.0,W,0,0
632,6612,10.0,W,0,0
633,6613,10.0,W,0,0
634,6614,10.0,W,0,0
635,6615,10.0,W,0,0
636,6616,10.0,W,0,0
637,6617,10.0,W,0,0
638,6618,10.0,W,0,0
639,6619,10.0,W,0,0
640,6620,10.0,W,0,0
641,6621,10.0,W,0,0
642,6622,10.0,W,0,0
643,6623,10.0,W,0,0
644,6624,10.0,W,0,0
645,6625,10.0,W,0,0
646,6626,10.0,W,0,0
647,6627,10.0,W,0,0
648,6628,10.0,W,0,0
649,6629,10.0,W,0,0
650,6630,10.0,W,0,0
651,6631,10.0,W,0,0
652,6632,10.0,W,0,0
653,6633,10.0,W,0,0
654,6634,10.0,W,0,0
655,6635,10.0,W,0,0
656,6636,10.0,W,0,0
657,6637,10.0,W,0,0
658,6638,10.0,W,0,0
659,6639,10.0,W,0,0
660,6640,10.0,W,0,0
661,6641,10.0,W,0,0
662,6642,10.0,W,0,0
663,6643,10.0,W,0,0
664,6644,10.0,W,0,0
665,6645,10.0,W,0,0
666,6646,10.0,W,0,0
667,6647,10.0,W,0,0
668,6648,10.0,W,0,0
669,6649,10.0,W,0,0
670,6650,10.0,W,0,0
671,6651,10.0,W,0,0
672,6652,10.0,W,0,0
673,6653,10.0,W,0,0
674,6654,10.0,W,0,0
675,6655,10.0,W,0,0
676,6656,10.0,W,0,0
677,6657,10.0,W,0,0
678,6658,10.0,W,0,0
679,6659,10.0,W,0,0
680,6660,10.0,W,0,0
681,6661,10.0,W,0,0
682,6662,10.0,W,0,0
683,6663,10.0,W,0,0
684,6664,10.0,W,1,0
685,6665,10.0,W,1,0
686,6666,10.0,W,1,0
687,6667,10.0,W,1,0
688,6668,10.0,W,1,0
689,6669,10.0,W,1,0
690,6670,10.0,W,1,0
691,6671,10.0,W,1,0
692,6672,10.0,W,1,0
693,6673,10.0,W,1,0
694,6674,10.0,W,1,0
695,6675,10.0,W,1,0
696,6676,10.0,W,1,0
697,6677,10.0,W,1,0
698,6678,10.0,W,1,0
699,6679,10.0,W,1,0
700,6680,10.0,W,1,0
701,6681,10.0,W,1,0
702,6682,10.0,W,1,0
703,6683,10.0,W,1,0
704,6684,10.0,W,1,0
705,6685,10.0,W,0,0
706,6686,10.0,W,0,0
707,6687,10.0,W,0,0
708,6688,10.0,W,0,0
